disease_name,total_cases,common_symptoms,avg_duration_months,gender_distribution
Acute disseminated encephalomyelitis,85,Low-grade fever; Fatigue or chronic tiredness; Dizziness; Dry eyes and/or mouth,0.5,"Male: 48, Female: 37"
Acute motor axonal neuropathy,81,Low-grade fever; Weight loss; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 39, Female: 42"
Addison's disease,80,Low-grade fever; Fatigue or chronic tiredness; Weight loss; General 'unwell' feeling,0.5,"Male: 44, Female: 36"
Alopecia areata,78,Low-grade fever; Fatigue or chronic tiredness; Dizziness; Stiffness in the joints; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 41, Female: 37"
Anti-NMDA receptor encephalitis,82,Low-grade fever; Dry eyes and/or mouth; Joint pain,0.5,"Male: 39, Female: 43"
Antiphospholipid syndrome,101,Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 58, Female: 43"
Autoimmune angioedema,82,Low-grade fever; Fatigue or chronic tiredness; Weight loss; Stiffness in the joints; Dry eyes and/or mouth; Joint pain,0.5,"Male: 40, Female: 42"
Autoimmune encephalitis,85,Rashes and skin lesions; Stiffness in the joints,0.5,"Male: 46, Female: 39"
Autoimmune enteropathy,80,Fatigue or chronic tiredness; Dizziness; Weight loss; Joint pain,0.6,"Male: 38, Female: 42"
Autoimmune hemolytic anemia,76,Low-grade fever; Weight loss; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 39, Female: 37"
Autoimmune hepatitis,84,Dizziness; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss,0.6,"Male: 49, Female: 35"
Autoimmune oophoritis,170,Low-grade fever; Fatigue or chronic tiredness; Dizziness; Weight loss; Rashes and skin lesions; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.5,"Male: 87, Female: 83"
Autoimmune orchitis,162,Low-grade fever; Weight loss; Rashes and skin lesions; Brittle hair or hair loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 83, Female: 79"
Autoimmune pancreatitis,76,Fatigue or chronic tiredness; Dizziness; Weight loss; Brittle hair or hair loss; General 'unwell' feeling,0.6,"Male: 39, Female: 37"
Autoimmune polyendocrine syndrome type 1 (APS1),85,Dizziness; Brittle hair or hair loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 41, Female: 44"
Autoimmune polyendocrine syndrome type 2 (APS2),78,Dizziness; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 38, Female: 40"
Autoimmune polyendocrine syndrome type 3 (APS3),83,Fatigue or chronic tiredness; Dizziness; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 43, Female: 40"
Autoimmune progesterone dermatitis,82,Dizziness; Brittle hair or hair loss,0.5,"Male: 48, Female: 34"
Autoimmune retinopathy,82,Fatigue or chronic tiredness; Dizziness; Rashes and skin lesions; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 39, Female: 43"
Autoimmune urticaria,96,Dizziness; Rashes and skin lesions; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 38, Female: 58"
Autoimmune uveitis,73,Low-grade fever; Dizziness; Weight loss; Rashes and skin lesions; Dry eyes and/or mouth; Joint pain,0.5,"Male: 38, Female: 35"
Balo concentric sclerosis,83,Low-grade fever; Stiffness in the joints,0.5,"Male: 43, Female: 40"
Behçet's disease,81,Fatigue or chronic tiredness; Dizziness; Weight loss; Rashes and skin lesions; Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.5,"Male: 43, Female: 38"
Bickerstaff's encephalitis,94,Fatigue or chronic tiredness; Dizziness; Stiffness in the joints; Brittle hair or hair loss,0.5,"Male: 46, Female: 48"
Bullous pemphigoid,88,Low-grade fever; Fatigue or chronic tiredness; Weight loss; Rashes and skin lesions; Stiffness in the joints; Dry eyes and/or mouth; Joint pain,0.5,"Male: 37, Female: 51"
Celiac disease,86,Low-grade fever; Rashes and skin lesions; Joint pain,0.5,"Male: 40, Female: 46"
Chronic inflammatory demyelinating polyneuropathy,98,Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss,0.5,"Male: 42, Female: 56"
Cicatricial pemphigoid,77,Fatigue or chronic tiredness; Weight loss; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 35, Female: 42"
Cogan syndrome,84,Low-grade fever; Fatigue or chronic tiredness; Weight loss; Rashes and skin lesions; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 49, Female: 35"
Crohn's disease,81,Low-grade fever; Dizziness; Weight loss; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 40, Female: 41"
Dermatitis herpetiformis,101,Low-grade fever; Dizziness; Stiffness in the joints; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.6,"Male: 50, Female: 51"
Dermatomyositis,183,Low-grade fever; Dizziness; Stiffness in the joints; Dry eyes and/or mouth,0.5,"Male: 95, Female: 88"
Diabetes mellitus type 1,75,Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 41, Female: 34"
Discoid lupus erythematosus,92,Weight loss; General 'unwell' feeling; Joint pain,0.5,"Male: 46, Female: 46"
Endometriosis,184,Low-grade fever; Dizziness; Rashes and skin lesions; Brittle hair or hair loss; General 'unwell' feeling,0.5,"Male: 106, Female: 78"
Eosinophilic granulomatosis with polyangiitis (EGPA),76,Low-grade fever; Fatigue or chronic tiredness; Dizziness; Weight loss; Rashes and skin lesions; Dry eyes and/or mouth; Joint pain,0.5,"Male: 37, Female: 39"
Epidermolysis bullosa acquisita,89,Low-grade fever; Fatigue or chronic tiredness; Dizziness; Weight loss; Stiffness in the joints; Brittle hair or hair loss; Joint pain,0.5,"Male: 44, Female: 45"
Erythema nodosum,86,Dizziness; Weight loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 42, Female: 44"
Fibromyalgia,84,Low-grade fever; Dizziness; Weight loss; Rashes and skin lesions; General 'unwell' feeling; Joint pain,0.5,"Male: 34, Female: 50"
Gestational pemphigoid,88,Low-grade fever; Rashes and skin lesions; Stiffness in the joints; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 38, Female: 50"
Giant cell arteritis,82,Low-grade fever; Dizziness; Joint pain,0.5,"Male: 45, Female: 37"
Goodpasture syndrome,80,Low-grade fever; Fatigue or chronic tiredness; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth,0.6,"Male: 37, Female: 43"
Granulomatosis with polyangiitis (GPA),78,Weight loss; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 40, Female: 38"
Graves' disease,81,Low-grade fever; Dizziness; Weight loss; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 40, Female: 41"
Graves' ophthalmopathy,83,Low-grade fever; Fatigue or chronic tiredness; Dizziness; Weight loss; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.5,"Male: 44, Female: 39"
Guillain-Barré syndrome,91,Fatigue or chronic tiredness; Rashes and skin lesions; Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.5,"Male: 48, Female: 43"
Hashimoto's encephalopathy,78,Weight loss; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss; General 'unwell' feeling,0.5,"Male: 38, Female: 40"
Hashimoto's thyroiditis,72,Dizziness; Weight loss; Stiffness in the joints; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 33, Female: 39"
Hidradenitis suppurativa,101,Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.5,"Male: 47, Female: 54"
Idiopathic inflammatory demyelinating diseases,81,Fatigue or chronic tiredness; Dizziness; Rashes and skin lesions; Stiffness in the joints; Dry eyes and/or mouth; Joint pain,0.5,"Male: 40, Female: 41"
Idiopathic pulmonary fibrosis,70,Dizziness; Weight loss; Rashes and skin lesions; Brittle hair or hair loss; Joint pain,0.5,"Male: 40, Female: 30"
IgA nephropathy,97,Fatigue or chronic tiredness; Dizziness; Rashes and skin lesions; Stiffness in the joints; General 'unwell' feeling,0.5,"Male: 42, Female: 55"
IgA vasculitis (IgAV),76,Fatigue or chronic tiredness; Dizziness; Brittle hair or hair loss; Joint pain,0.5,"Male: 37, Female: 39"
Immune thrombocytopenia,99,Weight loss; Brittle hair or hair loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 44, Female: 55"
Inclusion body myositis,79,Fatigue or chronic tiredness; Weight loss; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.5,"Male: 51, Female: 28"
Intermediate uveitis,83,Low-grade fever; Dizziness; Stiffness in the joints; Dry eyes and/or mouth,0.4,"Male: 39, Female: 44"
Interstitial cystitis,90,Low-grade fever; Dizziness; Rashes and skin lesions; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 39, Female: 51"
Interstitial lung disease,97,Low-grade fever; Rashes and skin lesions; Dry eyes and/or mouth; General 'unwell' feeling,0.4,"Male: 44, Female: 53"
Interstitial nephritis,79,Low-grade fever; Fatigue or chronic tiredness; Weight loss; Stiffness in the joints,0.5,"Male: 33, Female: 46"
Kawasaki disease,97,Weight loss; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 53, Female: 44"
Lambert–Eaton myasthenic syndrome,78,Dizziness; Weight loss; Rashes and skin lesions; Brittle hair or hair loss; General 'unwell' feeling,0.5,"Male: 41, Female: 37"
Leukocytoclastic vasculitis,84,Weight loss; Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.5,"Male: 34, Female: 50"
Lichen planus,84,Rashes and skin lesions; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 44, Female: 40"
Lichen sclerosus,68,Fatigue or chronic tiredness; Dizziness; Weight loss; Rashes and skin lesions; Dry eyes and/or mouth,0.5,"Male: 37, Female: 31"
Ligneous conjunctivitis,80,Low-grade fever; Fatigue or chronic tiredness; Weight loss; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 38, Female: 42"
Linear IgA disease,88,Dizziness; Weight loss; Stiffness in the joints; Brittle hair or hair loss; Joint pain,0.5,"Male: 48, Female: 40"
Lupus nephritis,75,Low-grade fever; Stiffness in the joints; General 'unwell' feeling,0.5,"Male: 42, Female: 33"
Lupus vasculitis,87,Weight loss; Brittle hair or hair loss,0.5,"Male: 49, Female: 38"
Membranous nephropathy,85,Fatigue or chronic tiredness; Weight loss; Brittle hair or hair loss,0.5,"Male: 38, Female: 47"
Microscopic polyangiitis (MPA),85,Low-grade fever; Fatigue or chronic tiredness; Rashes and skin lesions; Joint pain,0.5,"Male: 40, Female: 45"
Mooren's ulcer,93,Low-grade fever; Fatigue or chronic tiredness; Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.4,"Male: 43, Female: 50"
Morphea,99,Low-grade fever; Fatigue or chronic tiredness; Weight loss; Rashes and skin lesions; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 43, Female: 56"
Multiple sclerosis,75,Low-grade fever; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 40, Female: 35"
Myasthenia gravis,149,Low-grade fever; Stiffness in the joints; Brittle hair or hair loss,0.5,"Male: 74, Female: 75"
Myositis,85,Fatigue or chronic tiredness; Weight loss; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 45, Female: 40"
Neuromyelitis optica,70,Low-grade fever; Fatigue or chronic tiredness; Weight loss; Stiffness in the joints,0.5,"Male: 40, Female: 30"
Neuromyelitis optica (Devic's disease)/NMOSD,92,Weight loss; Rashes and skin lesions; Dry eyes and/or mouth,0.5,"Male: 52, Female: 40"
Neuromyotonia,62,Dizziness,0.5,"Male: 26, Female: 36"
Normal,88,Varies,0.0,"Male: 40, Female: 48"
Opsoclonus myoclonus syndrome,97,Low-grade fever; Joint pain,0.5,"Male: 41, Female: 56"
Optic neuritis,79,Low-grade fever; Stiffness in the joints; Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.5,"Male: 50, Female: 29"
Ord's thyroiditis,78,Weight loss; Brittle hair or hair loss; General 'unwell' feeling,0.5,"Male: 39, Female: 39"
Paraneoplastic cerebellar degeneration,82,Fatigue or chronic tiredness,0.5,"Male: 39, Female: 43"
Paroxysmal nocturnal hemoglobinuria,76,Fatigue or chronic tiredness; Stiffness in the joints; Dry eyes and/or mouth; Joint pain,0.5,"Male: 35, Female: 41"
Pemphigus vulgaris,87,Low-grade fever; Dizziness; Weight loss; Rashes and skin lesions; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 47, Female: 40"
Pernicious anemia,85,Low-grade fever; Stiffness in the joints; Dry eyes and/or mouth; Joint pain,0.5,"Male: 45, Female: 40"
Polyarteritis nodosa (PAN),63,Fatigue or chronic tiredness; Dizziness; Stiffness in the joints; Brittle hair or hair loss,0.5,"Male: 38, Female: 25"
Polymyalgia rheumatica,80,Dizziness; Weight loss; Rashes and skin lesions; Stiffness in the joints; Dry eyes and/or mouth,0.5,"Male: 36, Female: 44"
Polymyositis,90,Dizziness; Stiffness in the joints; Brittle hair or hair loss; General 'unwell' feeling,0.5,"Male: 48, Female: 42"
Premature ovarian failure,90,Low-grade fever; Weight loss; Stiffness in the joints; Dry eyes and/or mouth; Joint pain,0.5,"Male: 36, Female: 54"
Primary sclerosing cholangitis,76,Fatigue or chronic tiredness; Dizziness; Rashes and skin lesions; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 43, Female: 33"
Psoriasis,80,Stiffness in the joints; General 'unwell' feeling; Joint pain,0.5,"Male: 40, Female: 40"
Pulmonary alveolar proteinosis,81,Weight loss; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 35, Female: 46"
Restless legs syndrome,86,Weight loss; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 44, Female: 42"
Rheumatic heart disease,67,Dizziness; Weight loss; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 35, Female: 32"
Rheumatoid arthritis,91,Fatigue or chronic tiredness; Dizziness; Weight loss; Stiffness in the joints; General 'unwell' feeling; Joint pain,0.5,"Male: 53, Female: 38"
Rheumatoid lung disease,82,Low-grade fever; Stiffness in the joints; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 46, Female: 36"
Rheumatoid vasculitis,88,Low-grade fever; Rashes and skin lesions; Stiffness in the joints; Dry eyes and/or mouth,0.5,"Male: 40, Female: 48"
Sarcoidosis,87,Low-grade fever; Fatigue or chronic tiredness; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 46, Female: 41"
Scleritis,87,Low-grade fever; Dizziness; Rashes and skin lesions; General 'unwell' feeling; Joint pain,0.5,"Male: 51, Female: 36"
Scleroderma (systemic sclerosis),77,Low-grade fever; Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.5,"Male: 38, Female: 39"
Sjögren syndrome,85,Low-grade fever; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss; General 'unwell' feeling,0.6,"Male: 38, Female: 47"
Stiff-person syndrome,80,Fatigue or chronic tiredness; Dizziness; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 46, Female: 34"
Susac's syndrome,78,Fatigue or chronic tiredness; Weight loss; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 36, Female: 42"
Sydenham's chorea,68,Rashes and skin lesions; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 42, Female: 26"
Sympathetic ophthalmia,75,Fatigue or chronic tiredness; Dizziness; Rashes and skin lesions; Brittle hair or hair loss; Dry eyes and/or mouth,0.5,"Male: 40, Female: 35"
Systemic Lupus Erythematosus,93,Varies,0.5,"Male: 49, Female: 44"
Takayasu's arteritis,73,Low-grade fever; Dizziness; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling,0.5,"Male: 39, Female: 34"
Thrombotic thrombocytopenic purpura,83,Fatigue or chronic tiredness; Dizziness; Stiffness in the joints; Dry eyes and/or mouth,0.5,"Male: 44, Female: 39"
Tolosa–Hunt syndrome,79,Low-grade fever; Fatigue or chronic tiredness; Weight loss; Brittle hair or hair loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 47, Female: 32"
Transverse myelitis,89,Weight loss; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth; Joint pain,0.5,"Male: 43, Female: 46"
Ulcerative colitis,78,Low-grade fever; Fatigue or chronic tiredness; Brittle hair or hair loss; General 'unwell' feeling; Joint pain,0.5,"Male: 43, Female: 35"
Undifferentiated connective tissue disease (UCTD),77,Dizziness; Weight loss; Brittle hair or hair loss; Joint pain,0.6,"Male: 42, Female: 35"
Urticarial vasculitis,77,Low-grade fever; Fatigue or chronic tiredness; Weight loss; Rashes and skin lesions; Stiffness in the joints; Brittle hair or hair loss; Dry eyes and/or mouth; General 'unwell' feeling; Joint pain,0.5,"Male: 49, Female: 28"
Vasculitis,101,Low-grade fever; Fatigue or chronic tiredness; Dizziness; Weight loss; Rashes and skin lesions; Joint pain,0.5,"Male: 52, Female: 49"
Vitiligo,91,Fatigue or chronic tiredness; Dizziness; Rashes and skin lesions; Dry eyes and/or mouth,0.5,"Male: 42, Female: 49"
