Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
Eggo Waffle (2 waffles),0.2647059,0.08888889,0.42857143,0.125,0.071428575,0.06666667,0.25316456,0.0,0.0
Eggplant (1/2 cup in caponata),0.05882353,0.011111111,0.08571429,0.05,0.14285715,0.050000004,0.094936706,0.0,0.0
Eggs Benedict (1 serving),0.88235295,0.5555556,0.42857143,1.0,0.21428573,0.06666667,0.6962025,1.0,0.5
Empanada (Beef 1 medium),0.4264706,0.22222222,0.4,0.4,0.21428573,0.050000004,0.34810126,0.06666667,0.0
English Muffin (whole wheat),0.19705883,0.13333334,0.37142858,0.025,0.31428573,0.016666668,0.1329114,0.0,0.5
Espresso (1 oz in drink),0.004411765,0.0066666673,0.0,0.0025000002,0.0,0.0,0.0006329114,0.0,0.0
Espresso (double shot),0.007352941,0.011111111,0.0,0.0025000002,0.0,0.0,0.0006329114,0.0,0.120000005
Espresso (for dipping),0.0029411765,0.0044444446,0.0,0.0,0.0,0.0,0.0006329114,0.0,0.060000002
Espresso Martini (1 drink),0.4117647,0.011111111,0.35714287,0.0,0.0,0.4166667,0.003164557,0.0,0.24000001
Falafel (3 pieces),0.2647059,0.13333334,0.25714287,0.22500001,0.2857143,0.016666668,0.20253165,0.0,0.0
Fattoush Salad (1.5 cups),0.36764705,0.11111111,0.35714287,0.375,0.42857146,0.083333336,0.3164557,0.0,0.0
Feta Cheese (1 oz),0.11029412,0.08888889,0.017142858,0.1525,0.0,0.011666667,0.2,0.055555556,0.0
Figs (2 medium),0.10882353,0.013333335,0.27428573,0.0075000003,0.20714287,0.27000004,0.0012658228,0.0,0.0
Fiorentina Steak (3oz portion),0.3382353,0.53333336,0.0,0.375,0.0,0.0,0.037974685,0.16666667,0.0
Fish Sauce (1 tsp),0.007352941,0.008888889,0.007142857,0.0,0.0,0.0066666673,0.28481013,0.0,0.0
Fish Tacos (2 tacos),0.61764705,0.5555556,0.5714286,0.45000002,0.42857146,0.083333336,0.443038,0.13333334,1.0
Flan (1 slice),0.32352942,0.13333334,0.5,0.175,0.0,0.55,0.050632913,0.2,0.0
Focaccia (1 square),0.36764705,0.17777778,0.5714286,0.175,0.14285715,0.033333335,0.3164557,0.0,0.0
French Bread (2 slices),0.2647059,0.13333334,0.51428574,0.025,0.14285715,0.033333335,0.24050634,0.0,0.0
French Fries (as side),0.29411766,0.044444446,0.35714287,0.25,0.14285715,0.0033333336,0.08227848,0.0,0.0
French Fries (medium),0.5,0.08888889,0.62857145,0.425,0.2857143,0.0050000004,0.14556962,0.0,0.0
French Fries (side),0.5,0.08888889,0.62857145,0.425,0.2857143,0.0050000004,0.14556962,0.0,0.0
French Onion Soup (1 cup),0.22058824,0.13333334,0.21428572,0.175,0.14285715,0.083333336,0.5063291,0.044444446,0.5
Fresh Mozzarella (1 oz),0.105882354,0.11111111,0.011428571,0.125,0.0,0.0050000004,0.08734177,0.048888892,0.0
Fried Okra (1 cup),0.32352942,0.08888889,0.35714287,0.3,0.35714287,0.050000004,0.28481013,0.022222223,0.0
Fried Pita (1/2 pita in salad),0.11764706,0.044444446,0.17142858,0.075,0.071428575,0.008333334,0.094936706,0.0,0.0
Frosting (Vanilla 2 tbsp),0.20588236,0.0,0.31428573,0.15,0.0,0.36666667,0.04113924,0.0,0.0
Fruit Cocktail (canned 1 cup),0.16176471,0.022222223,0.4,0.0,0.14285715,0.43333337,0.006329114,0.0,0.0
Garlic (1 clove in beans),0.005882353,0.0044444446,0.012857143,0.0,0.0071428576,0.0,0.0006329114,0.0,0.0
Garlic (1 clove),0.005882353,0.0044444446,0.012857143,0.0,0.0071428576,0.0,0.0006329114,0.0,0.0
Garlic (1/2 clove in pesto),0.0029411765,0.0022222223,0.007142857,0.0,0.0,0.0,0.0,0.0,0.0
Garlic Bread (1 slice),0.22058824,0.08888889,0.25714287,0.175,0.071428575,0.016666668,0.19620253,0.0,0.0
Garlic Sauce (1 tbsp),0.13235295,0.0022222223,0.014285714,0.25,0.0,0.008333334,0.050632913,0.011111111,0.0
Garlic Sauce (Toum 1 tbsp),0.13235295,0.0022222223,0.014285714,0.25,0.0,0.008333334,0.050632913,0.011111111,0.0
Gazpacho (1 cup),0.13235295,0.044444446,0.17142858,0.1,0.21428573,0.116666675,0.37974682,0.0,0.48000002
Gelato (Pistachio 1/2 cup),0.32352942,0.11111111,0.34285715,0.3,0.14285715,0.33333334,0.037974685,0.08888889,0.0
Gin & Tonic (1 drink),0.25,0.0,0.18571429,0.0,0.0,0.21666668,0.0012658228,0.0,0.36
Gin (1 oz),0.10294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ginger Ale (1 can),0.18235295,0.0,0.45714286,0.0,0.0,0.5166667,0.025316456,0.0,0.71000004
Gnocchi (1 cup),0.30882353,0.1,0.64285713,0.0375,0.21428573,0.033333335,0.30379748,0.0,0.0
Gnocchi alla Sorrentina (1.5 cups),0.66176474,0.33333334,0.85714287,0.45000002,0.42857146,0.15,0.5063291,0.08888889,0.0
Goat Cheese (1 oz),0.15147059,0.13555555,0.0014285714,0.2125,0.0,0.0016666668,0.092405066,0.048888892,0.0
Gochugaru (1 tsp),0.014705882,0.0066666673,0.025714286,0.0075000003,0.035714287,0.0050000004,0.0006329114,0.0,0.0
Gochujang (1 tbsp),0.04411765,0.011111111,0.08571429,0.0,0.035714287,0.06666667,0.12658228,0.0,0.0
Gorgonzola Cheese (1 oz),0.14705883,0.13333334,0.01,0.2,0.0,0.0016666668,0.20569621,0.046666667,0.0
Graham Cracker (1 large rectangle),0.0882353,0.022222223,0.15714286,0.0375,0.035714287,0.06666667,0.044303797,0.0,0.0
Granola (1/4 cup topping),0.1764706,0.06666667,0.21428572,0.15,0.21428573,0.116666675,0.012658228,0.0,0.0
Grapefruit (1/2 medium),0.07647059,0.024444446,0.18857142,0.0050000004,0.14285715,0.14166668,0.0,0.0,0.0
Grapes (1 cup),0.15294118,0.024444446,0.3857143,0.0050000004,0.1,0.38333336,0.0018987341,0.0,0.0
Greek Yogurt (plain 1 cup),0.22058824,0.5555556,0.114285715,0.075,0.0,0.116666675,0.05379747,0.022222223,0.5
Green Beans (1 cup),0.045588236,0.04,0.1,0.0050000004,0.19285716,0.055000003,0.0037974683,0.0,0.0
Green Beans (1/2 cup w/ pasta),0.022058824,0.02,0.05,0.0025000002,0.092857145,0.02666667,0.0018987341,0.0,0.0
Green Curry Paste (1 tbsp),0.04411765,0.011111111,0.028571429,0.0625,0.071428575,0.016666668,0.25316456,0.0,0.0
Green Onion (1 tbsp garnish),0.004411765,0.0044444446,0.01,0.0,0.014285715,0.0033333336,0.0,0.0,0.0
Green Peas (1/2 cup),0.09117647,0.09111111,0.15857144,0.0050000004,0.31428573,0.07,0.0012658228,0.0,0.0
Gremolata (1 tbsp),0.022058824,0.011111111,0.014285714,0.025,0.035714287,0.008333334,0.003164557,0.0,0.0
Grilled Cheese Sandwich,0.5735294,0.33333334,0.45714286,0.55,0.21428573,0.06666667,0.5063291,0.13333334,0.0
Grilled Chicken Salad,0.5147059,0.6666667,0.14285715,0.5,0.35714287,0.06666667,0.25316456,0.17777778,1.0
Grits (1 cup cooked),0.22058824,0.06666667,0.45714286,0.025,0.14285715,0.008333334,0.20253165,0.0,0.0
Ground Beef (2 oz in sauce),0.20588236,0.24444444,0.0,0.25,0.0,0.0,0.025316456,0.07777778,0.0
Ground Lamb (1 oz filling),0.11764706,0.12222222,0.0,0.15,0.0,0.0,0.012658228,0.044444446,0.0
Guacamole (1/4 cup),0.13235295,0.022222223,0.057142857,0.2,0.21428573,0.008333334,0.07594937,0.0,0.0
Guanciale (1 oz),0.25,0.06666667,0.0,0.45000002,0.0,0.0,0.28481013,0.07777778,0.0
Guava,0.1,0.057777777,0.20428571,0.022499999,0.38571432,0.14833334,0.0018987341,0.0,0.0
Gummy Bears (10 pcs),0.14705883,0.044444446,0.31428573,0.0,0.0,0.25,0.006329114,0.0,0.0
Gyro (1 sandwich),0.88235295,0.5555556,0.78571427,0.75,0.35714287,0.10000001,0.75949365,0.17777778,0.5
Halibut (4oz baked),0.18382353,0.53333336,0.0,0.0625,0.0,0.0,0.037974685,0.08888889,0.5
Ham & Cheese Croissant,0.5882353,0.33333334,0.5,0.55,0.14285715,0.10000001,0.47468355,0.13333334,0.5
Ham (3oz deli sliced),0.16176471,0.35555556,0.028571429,0.1,0.0,0.025000002,0.60126585,0.1,0.0
Hard-Boiled Egg (1 large),0.11470588,0.14,0.008571429,0.13250001,0.0,0.008333334,0.039240506,0.41555557,0.0
Hash Browns (1 cup),0.48529413,0.06666667,0.54285717,0.475,0.21428573,0.016666668,0.34810126,0.0,0.0
Hoisin Sauce (1 tbsp),0.05147059,0.0066666673,0.114285715,0.0050000004,0.0071428576,0.083333336,0.1392405,0.0,0.0
Hollandaise Sauce (1 tbsp),0.080882356,0.011111111,0.0028571428,0.15,0.0,0.0016666668,0.047468353,0.055555556,0.0
Hollandaise Sauce (2 tbsp),0.16176471,0.022222223,0.007142857,0.3,0.0,0.0033333336,0.094936706,0.11111111,0.0
Honey (1 tbsp),0.09411765,0.0022222223,0.24714285,0.0,0.0,0.2866667,0.0006329114,0.0,0.0
Honey (1 tsp drizzle),0.030882353,0.0,0.08285715,0.0,0.0,0.09666667,0.0,0.0,0.0
Horchata (1 cup),0.20588236,0.044444446,0.35714287,0.075,0.071428575,0.36666667,0.018987343,0.011111111,0.48000002
Hot Chocolate (1 cup),0.29411766,0.06666667,0.42857143,0.2,0.14285715,0.4166667,0.101265825,0.022222223,0.48000002
Hot Sauce (1 tsp Tabasco),0.0,0.0,0.0,0.0,0.0,0.0,0.022151899,0.0,0.0
Hummus (1/4 cup),0.19117647,0.11111111,0.14285715,0.2,0.2857143,0.016666668,0.15822785,0.0,0.0
Hummus (2 tbsp),0.10294118,0.044444446,0.057142857,0.125,0.14285715,0.0,0.08227848,0.0,0.0
Hummus Wrap (large),0.66176474,0.33333334,0.85714287,0.45000002,0.8571429,0.083333336,0.5063291,0.0,1.0
Ice Cream (1/2 cup vanilla),0.2132353,0.055555556,0.24285714,0.1875,0.035714287,0.26666668,0.034810126,0.06666667,0.0
Iced Tea (Sweetened 16oz),0.2647059,0.0,0.6571429,0.0,0.0,0.7666667,0.009493671,0.0,1.0
Italian Dressing (2 tbsp),0.10294118,0.0,0.042857144,0.175,0.0,0.033333335,0.18987341,0.0,0.0
Italian Sausage (1 link),0.29411766,0.26666668,0.042857144,0.4,0.0,0.016666668,0.34810126,0.11111111,0.0
Jalapeno (1 tbsp sliced),0.005882353,0.0022222223,0.011428571,0.0025000002,0.02857143,0.008333334,0.0006329114,0.0,0.0
Jasmine Rice (1 cup cooked),0.3014706,0.09555556,0.64285713,0.010000001,0.042857148,0.0,0.0012658228,0.0,0.0
Jelly (1 tbsp grape),0.073529415,0.0,0.18571429,0.0,0.0071428576,0.20000002,0.003164557,0.0,0.0
Jicama (1 cup sticks),0.06764706,0.02,0.15142858,0.0025000002,0.41428575,0.035,0.003164557,0.0,0.0
Kale (1 cup in soup),0.048529413,0.064444445,0.08571429,0.015000001,0.14285715,0.016666668,0.01835443,0.0,0.0
Kefir (Plain 1 cup),0.15294118,0.22222222,0.14285715,0.0625,0.0,0.15,0.06329114,0.022222223,0.48000002
Ketchup (1 packet),0.014705882,0.0022222223,0.035714287,0.0,0.0071428576,0.033333335,0.056962024,0.0,0.0
Ketchup (1 tbsp),0.029411765,0.0044444446,0.071428575,0.0025000002,0.014285715,0.06666667,0.101265825,0.0,0.0
Kibbeh (1 piece fried),0.3382353,0.2,0.2857143,0.32500002,0.21428573,0.016666668,0.28481013,0.06666667,0.0
Kimchi (1/2 cup),0.032352943,0.03777778,0.057142857,0.010000001,0.17142859,0.025000002,0.47468355,0.0,0.0
Kimchi Jjigae (1 bowl),0.5147059,0.33333334,0.2857143,0.55,0.35714287,0.10000001,0.75949365,0.06666667,1.0
Kiwifruit (1 medium),0.06764706,0.02,0.15857144,0.010000001,0.16428572,0.11166667,0.0012658228,0.0,0.0
Kombucha (1 cup),0.04411765,0.0,0.1,0.0,0.0,0.10000001,0.006329114,0.0,0.48000002
Kombucha (16 oz),0.0882353,0.0,0.2,0.0,0.0,0.20000002,0.012658228,0.0,0.94600004
Labneh (2 tbsp),0.0882353,0.08888889,0.028571429,0.1,0.0,0.033333335,0.050632913,0.033333335,0.0
Lasagna (1 serving meat),0.5147059,0.44444445,0.42857143,0.425,0.2857143,0.116666675,0.5379747,0.12222222,0.5
Lassi (Mango 1 cup),0.2647059,0.11111111,0.42857143,0.1,0.071428575,0.4666667,0.037974685,0.033333335,0.48000002
Lemon Bar (1 square),0.22058824,0.033333335,0.31428573,0.15,0.035714287,0.25,0.050632913,0.06666667,0.0
Lemon Juice (1 tbsp dressing),0.005882353,0.0022222223,0.018571427,0.0,0.0071428576,0.0033333336,0.0,0.0,0.0
Lemon Juice (1 tsp in soup),0.0014705883,0.0,0.0057142857,0.0,0.0,0.0016666668,0.0,0.0,0.0
Lemon Slice (garnish),0.0014705883,0.0,0.0042857146,0.0,0.0071428576,0.0016666668,0.0,0.0,0.0
Lemon Wedge (for calamari),0.004411765,0.0022222223,0.014285714,0.0,0.021428574,0.0033333336,0.0,0.0,0.0
Lemonade (1 cup),0.14558823,0.0022222223,0.37142858,0.0,0.0071428576,0.4166667,0.018987343,0.0,0.48000002
Lentil Soup (1 can),0.3382353,0.33333334,0.5,0.075,0.8571429,0.10000001,0.41139242,0.0,0.5
Lentil Soup (1 cup Middle Eastern),0.29411766,0.22222222,0.42857143,0.125,0.71428573,0.06666667,0.443038,0.0,0.5
Lettuce (Romaine 2 cups),0.023529412,0.022222223,0.042857144,0.0075000003,0.14285715,0.016666668,0.006329114,0.0,0.0
Lime (juice of 1),0.016176471,0.0044444446,0.052857146,0.0,0.02857143,0.011666667,0.0006329114,0.0,0.0
Lime Juice (1 tbsp),0.005882353,0.0022222223,0.018571427,0.0,0.0071428576,0.0033333336,0.0,0.0,0.0
Lime Wedge (garnish),0.004411765,0.0022222223,0.014285714,0.0,0.021428574,0.0033333336,0.0,0.0,0.0
Limoncello (1.5 oz shot),0.22058824,0.0,0.25714287,0.0,0.0,0.3,0.0,0.0,0.0
Lobster (3oz steamed),0.11176471,0.35555556,0.0,0.0175,0.0,0.0,0.15822785,0.2777778,0.5
Lobster Bisque (1 cup),0.36764705,0.17777778,0.17142858,0.45000002,0.071428575,0.050000004,0.5379747,0.11111111,0.5
Lomo Saltado (1.5 cups),0.7352941,0.7777778,0.64285713,0.55,0.35714287,0.10000001,0.6962025,0.2,0.0
Macadamia Nuts (1 oz),0.3,0.048888892,0.055714287,0.5375,0.17142859,0.021666666,0.0006329114,0.0,0.0
Macaroni & Cheese (1 cup),0.5147059,0.22222222,0.5714286,0.425,0.14285715,0.083333336,0.47468355,0.08888889,0.5
Macaroni Salad (1 cup),0.5588235,0.17777778,0.42857143,0.625,0.21428573,0.10000001,0.47468355,0.044444446,0.0
Mackerel (3oz cooked),0.25735295,0.35555556,0.0,0.3,0.0,0.0,0.047468353,0.14444445,0.0
Malva Pudding (1 slice),0.5588235,0.11111111,0.85714287,0.35,0.14285715,0.6666667,0.221519,0.13333334,0.0
Manakeesh (Za'atar 1 small),0.44117647,0.15555556,0.64285713,0.25,0.2857143,0.033333335,0.3164557,0.0,0.0
Mandarin Orange (1 medium),0.054411765,0.013333335,0.13285714,0.0050000004,0.092857145,0.12166668,0.0006329114,0.0,0.0
Mango (1 cup slices),0.14558823,0.031111112,0.35285714,0.015000001,0.18571429,0.37500003,0.0012658228,0.0,0.0
Manicotti (2 shells cheese),0.5588235,0.44444445,0.5,0.45000002,0.2857143,0.116666675,0.41139242,0.13333334,0.0
Maple Syrup (1 tbsp),0.07647059,0.0,0.19285715,0.0,0.0,0.20000002,0.0006329114,0.0,0.0
Maple Syrup (2 tbsp),0.15294118,0.0,0.3857143,0.0,0.0,0.40000004,0.0012658228,0.0,0.0
Marshmallow (1 large),0.03382353,0.0022222223,0.08285715,0.0,0.0,0.06666667,0.003164557,0.0,0.0
Mashed Cauliflower (1 cup),0.20588236,0.11111111,0.17142858,0.2,0.35714287,0.06666667,0.25316456,0.055555556,0.0
Mashed Potatoes (1 cup),0.3382353,0.08888889,0.5,0.2,0.21428573,0.033333335,0.221519,0.033333335,0.0
Mashed Potatoes (side),0.22058824,0.06666667,0.35714287,0.1,0.14285715,0.033333335,0.18987341,0.022222223,0.0
Matcha Latte (12 oz),0.2647059,0.13333334,0.4,0.125,0.14285715,0.4166667,0.056962024,0.044444446,0.71000004
Mate (1 cup),0.007352941,0.0044444446,0.014285714,0.0,0.0,0.0,0.0012658228,0.0,0.48000002
Mayonnaise (1 tbsp for dipping),0.13235295,0.0022222223,0.0014285714,0.25,0.0,0.0016666668,0.044303797,0.011111111,0.0
Mayonnaise (1 tbsp),0.13235295,0.0022222223,0.0014285714,0.25,0.0,0.0016666668,0.044303797,0.011111111,0.0
Meatball Sub (6 inch),0.8529412,0.62222224,0.78571427,0.675,0.42857146,0.16666667,0.75949365,0.15555556,1.0
Media Luna (1 pastry),0.27941176,0.08888889,0.35714287,0.2,0.071428575,0.15,0.094936706,0.055555556,0.0
Melted Butter (for lobster),0.29411766,0.0044444446,0.0,0.55,0.0,0.0,0.103797466,0.13333334,0.0
Mignonette Sauce (1 tbsp),0.007352941,0.0,0.014285714,0.0,0.0,0.008333334,0.018987343,0.0,0.0
Mint (1 tbsp in tabouli),0.0014705883,0.0022222223,0.0014285714,0.0,0.0071428576,0.0,0.0,0.0,0.0
Mint Chutney (1 tbsp),0.007352941,0.0044444446,0.007142857,0.0,0.021428574,0.0033333336,0.094936706,0.0,0.0
Mint Tea (1 cup),0.0029411765,0.0022222223,0.007142857,0.0,0.0,0.0,0.003164557,0.0,0.48000002
Mixed Nuts (1/4 cup),0.29411766,0.13333334,0.114285715,0.45000002,0.21428573,0.033333335,0.0006329114,0.0,0.0
Mocha Latte (16oz),0.5294118,0.26666668,0.6857143,0.375,0.14285715,0.70000005,0.094936706,0.1,0.94600004
Mozzarella (1 oz melted),0.11764706,0.13333334,0.014285714,0.15,0.0,0.008333334,0.094936706,0.044444446,0.0
Mozzarella (1 slice),0.11764706,0.13333334,0.014285714,0.15,0.0,0.008333334,0.094936706,0.044444446,0.0
Mozzarella (filling 0.5 oz),0.05882353,0.06666667,0.007142857,0.075,0.0,0.0033333336,0.047468353,0.022222223,0.0
Muffin (Blueberry 1 large),0.5588235,0.11111111,0.78571427,0.4,0.14285715,0.5,0.221519,0.11111111,0.5
Mushroom (White 1 cup sliced),0.022058824,0.048888892,0.032857142,0.0050000004,0.05,0.023333333,0.0025316456,0.0,0.0
Mussels (3oz steamed),0.21470588,0.44444445,0.08571429,0.1,0.0,0.0,0.19620253,0.10666667,0.0
Naan Bread (1 piece),0.38235295,0.17777778,0.64285713,0.125,0.14285715,0.050000004,0.28481013,0.022222223,0.0
Negroni (1 drink),0.27941176,0.0,0.21428572,0.0,0.0,0.25,0.003164557,0.0,0.18
Nutella (1 tbsp),0.14705883,0.033333335,0.15714286,0.15,0.071428575,0.16666667,0.006329114,0.0,0.0
Nutritional Yeast (1 tbsp),0.029411765,0.06666667,0.028571429,0.0,0.071428575,0.0,0.006329114,0.0,0.0
Oat Milk (1 cup),0.1764706,0.06666667,0.22857143,0.125,0.14285715,0.116666675,0.06329114,0.0,0.0
Oatmeal (1 cup cooked),0.23529412,0.13333334,0.4,0.075,0.2857143,0.016666668,0.0012658228,0.0,0.5
Olive (garnish),0.007352941,0.0,0.0014285714,0.0125,0.0071428576,0.0,0.018987343,0.0,0.0
Olive Oil (1 tbsp dressing),0.1764706,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0
Olive Oil (1 tbsp drizzle),0.1764706,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0
Olive Oil (1 tbsp on bread),0.1764706,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0
Olive Oil (1 tbsp),0.1764706,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0
Olive Oil (1 tsp garnish),0.05882353,0.0,0.0,0.112500004,0.0,0.0,0.0,0.0,0.0
Olives (5 side),0.05147059,0.0044444446,0.014285714,0.0875,0.035714287,0.0,0.1329114,0.0,0.0
Olives (Kalamata 5 large),0.05147059,0.0044444446,0.014285714,0.0875,0.035714287,0.0,0.1329114,0.0,0.0
Onion (1/2 cup raw chopped),0.047058824,0.02,0.10714286,0.0025000002,0.1,0.06333333,0.0018987341,0.0,0.0
Onion (1/8 minced in sauce),0.007352941,0.0022222223,0.017142858,0.0,0.014285715,0.010000001,0.0006329114,0.0,0.0
Onion Rings (6 rings),0.4117647,0.08888889,0.42857143,0.4,0.21428573,0.06666667,0.3164557,0.0,0.0
Onions (sautéed 1/4 cup),0.04411765,0.011111111,0.071428575,0.025,0.071428575,0.050000004,0.003164557,0.0,0.0
Orange,0.09117647,0.02666667,0.22,0.0050000004,0.22142857,0.20000002,0.0,0.0,0.0
Orange Juice (1 cup),0.16470589,0.03777778,0.36857143,0.0125,0.05,0.34666666,0.0012658228,0.0,0.48000002
Orange Peel (garnish),0.0014705883,0.0,0.0028571428,0.0,0.0071428576,0.0,0.0,0.0,0.0
Orange Sauce (1/4 cup for duck),0.13235295,0.011111111,0.31428573,0.0,0.035714287,0.33333334,0.12658228,0.0,0.0
Orange Slice (garnish),0.007352941,0.0022222223,0.014285714,0.0,0.014285715,0.013333335,0.0,0.0,0.0
Oregano (1 tsp),0.004411765,0.0022222223,0.01,0.0,0.014285715,0.0,0.0,0.0,0.0
Osso Buco (1 serving),0.8088235,1.0,0.21428572,0.75,0.2857143,0.10000001,0.56962025,0.33333334,0.0
Oyster (1 medium raw),0.011764706,0.022222223,0.007142857,0.0050000004,0.0,0.0,0.03164557,0.022222223,0.0
Pad Thai (Chicken 1.5 cups),0.8088235,0.5555556,0.85714287,0.55,0.35714287,0.16666667,0.60126585,0.15555556,1.0
Paella (1.5 cups seafood),0.8088235,0.6666667,1.0,0.45000002,0.42857146,0.083333336,0.75949365,0.24444444,0.0
Pancakes (2 medium),0.2647059,0.11111111,0.42857143,0.125,0.071428575,0.10000001,0.28481013,0.055555556,0.0
Pancetta (0.5 oz in sauce),0.066176474,0.033333335,0.0,0.112500004,0.0,0.0,0.101265825,0.022222223,0.0
Panettone (1 slice),0.47058824,0.13333334,0.71428573,0.3,0.21428573,0.4166667,0.12658228,0.15555556,0.0
Pani Puri (6 pcs),0.29411766,0.08888889,0.5,0.125,0.21428573,0.033333335,0.25316456,0.0,0.0
Panna Cotta (1 serving),0.44117647,0.08888889,0.35714287,0.5,0.0,0.36666667,0.03164557,0.15555556,0.0
Papaya (1 cup cubes),0.09117647,0.013333335,0.2242857,0.010000001,0.17857143,0.18333334,0.0075949365,0.0,0.0
Parmigiano-Reggiano (1 tbsp),0.032352943,0.044444446,0.0028571428,0.0375,0.0,0.0,0.060126584,0.008888889,0.0
Parsley (1/4 cup in tabouli),0.007352941,0.0066666673,0.014285714,0.0025000002,0.035714287,0.0016666668,0.003164557,0.0,0.0
Passion Fruit (1 fruit),0.025,0.008888889,0.06,0.0025000002,0.13571429,0.033333335,0.003164557,0.0,0.0
Pasta Salad (1 cup),0.4117647,0.17777778,0.42857143,0.35,0.2857143,0.083333336,0.28481013,0.022222223,0.0
Pate (Mushroom 2 tbsp),0.10294118,0.022222223,0.028571429,0.175,0.071428575,0.016666668,0.06329114,0.0,0.0
Peanut Butter & Jelly Sandwich,0.5735294,0.26666668,0.71428573,0.425,0.35714287,0.33333334,0.28481013,0.0,0.5
Peanut Butter (2 tbsp),0.27941176,0.15555556,0.114285715,0.4,0.14285715,0.050000004,0.088607594,0.0,0.0
Peanut Sauce (2 tbsp),0.11764706,0.044444446,0.057142857,0.15,0.071428575,0.050000004,0.15822785,0.0,0.0
Pear,0.14852941,0.013333335,0.3857143,0.0050000004,0.39285716,0.26666668,0.0012658228,0.0,0.0
Pecans (1 oz),0.2882353,0.057777777,0.055714287,0.51,0.19285716,0.018333334,0.0,0.0,0.0
