disease_name,Duration of Treatment,dietary_advice,lifestyle_changes,herbs,herbs,dosha_involvement,dietary_advice,yoga_pranayama,total_cases
Cough,1-2 weeks,"Spicy, Oily Foods","Desk Job, Low physical activity","Ginger, Honey","Tulsi, Ashwagandha","Vata, Kapha",Avoid cold foods; stay hydrated; consume warm liquids.,"Anulom Vilom, Pranayama",2
Diabetes,Lifetime management,"High sugar, Low fiber","Sedentary job, Low exercise","Cinnamon, Bitter melon","Jamun, Gudmar","Pitta, Kapha",Avoid sugary foods; focus on low-GI foods; regular exercise.,"Surya Namaskar, Pranayama",2
Hypertension,Lifetime management,"Low Salt, Low Fat","Desk Job, High stress","Garlic, Hibiscus tea","Ashwagandha, Arjuna","Pitta, Vata",Reduce salt; practice yoga and meditation; avoid spicy foods.,"Surya Namaskar, Meditation",3
Migraine,3-4 days for relief,"Spicy, Caffeinated foods","High screen time, Low activity","Peppermint, Lavender oil","Brahmi, Jatamansi","Pitta, Vata",Maintain regular meal times; avoid bright lights; stay hydrated.,"Anulom Vilom, Pranayama",2
Arthritis,Variable,"Low-fat, Low-carb","Sedentary lifestyle, Office job","Turmeric, Ginger","Ashwagandha, Guggul","Vata, Kapha",Consume anti-inflammatory foods; stay active; avoid cold exposure.,"Yoga for flexibility, Strength",3
Common Cold,7-10 days,Balanced diet,"Office job, Low activity","Echinacea, Ginger tea","Tulsi, Ginger","Kapha, Vata",Rest well; consume warm foods; avoid dairy temporarily.,"Pranayama, Anulom Vilom",1
Indigestion,1-3 days,"Spicy, Oily foods","Sedentary job, High stress","Peppermint, Fennel","Triphala, Ajwain","Vata, Pitta",Avoid processed foods; eat smaller meals; stay active.,"Pranayama, Yogasanas",2
Asthma,Lifelong management,"Low-fat, High-protein","Sedentary lifestyle, Low activity","Ginger, Eucalyptus oil","Ashwagandha, Tulsi","Kapha, Vata",Avoid cold and dusty environments; practice breathing exercises.,"Pranayama, Kapalbhati",4
Constipation,2-3 days,"High fiber, Low-fat","Office job, Low physical activity","Triphala, Aloe Vera","Triphala, Isabgol",Vata,Increase fiber intake; stay hydrated; practice regular bowel routines.,"Paschimottanasana, Pranayama",2
Insomnia,"Variable, up to 4 weeks","Caffeine, Spicy foods","Office job, High stress","Valerian root, Chamomile","Ashwagandha, Jatamansi","Vata, Pitta",Establish a sleep routine; avoid caffeine; practice meditation.,"Anulom Vilom, Yoga Nidra",2
Obesity,"Variable, long-term","High-calorie, Low-nutrient",Sedentary lifestyle,"Green tea, Garcinia Cambogia","Guggul, Triphala",Kapha,Avoid heavy and oily foods; focus on exercise; eat light dinners.,"Surya Namaskar, Walking",2
Skin Allergy,1-2 weeks,"High-protein, Low-dairy",Exposure to allergens,"Aloe Vera, Chamomile","Neem, Tulsi",Pitta,Avoid allergens; wear loose clothing; consume cooling foods.,"Anulom Vilom, Pranayama",1
Anxiety,2-4 weeks,"Balanced diet, Low caffeine",High-stress job,"Lavender oil, Ashwagandha","Brahmi, Ashwagandha","Vata, Pitta",Practice yoga; avoid stimulants; focus on mindfulness.,"Meditation, Deep Breathing",2
Fever,3-5 days,Balanced diet,"Sedentary, Dependent on season","Ginger, Honey","Tulsi, Ginger","Pitta, Kapha","Rest; stay hydrated; consume light, warm meals.","Surya Namaskar, Pranayama",2
Acidity,1-3 days,"Spicy, Oily foods","Office job, High stress","Ginger, Fennel","Amla, Ajwain",Pitta,Avoid spicy foods; eat cooling foods like cucumber.,"Yogasanas, Pranayama",1
Acne,2-4 weeks,"Oily, High-sugar diet","Active, College/Teen lifestyle","Tea tree oil, Aloe Vera","Neem, Turmeric",Pitta,Avoid fried foods; include turmeric and green vegetables.,"Anulom Vilom, Kapalbhati",1
Acromegaly,Long-term,"High-protein, Low-fat",Sedentary lifestyle,None known,"Ashwagandha, Brahmi","Pitta, Kapha","Avoid heavy meals; consume balanced, nutrient-rich foods.",Yoga for joint flexibility,1
Acute Kidney Injury,"Varies, depends on cause","Low-salt, High-water intake","High-risk jobs (e.g., construction)","Nettle Leaf, Dandelion","Punarnava, Gokshura","Kapha, Pitta",Avoid salty and processed foods; stay hydrated.,"Pranayama, Surya Namaskar",1
Addison's Disease,Lifelong,"Low-sodium, High-potassium","Sedentary lifestyle, Medical jobs","Licorice Root, Ashwagandha","Ashwagandha, Licorice","Vata, Pitta","Include salty foods; consume small, frequent meals.","Gentle Yoga, Restorative Practices",2
Adrenal Insufficiency,Lifelong,"Low-sodium, High-potassium","Sedentary lifestyle, Medical jobs","Ashwagandha, Rhodiola","Ashwagandha, Licorice",Vata,Avoid stress; practice yoga and meditation.,Yoga for Stress Relief,2
Alkaptonuria,Lifelong,"High-protein, Low-fat",Active lifestyle,None specific,"Guggulu, Ashwagandha","Vata, Kapha",Avoid heavy meals; perform light exercises and consume warm meals.,"Gentle Yoga, Joint Exercises",2
Allergies,"Varies, depends on allergen","High-protein, Low-dairy",Exposure to allergens,"Local Honey, Echinacea","Brahmi, Ashwagandha","Vata, Kapha",Avoid cold foods; include herbal teas in the diet.,"Pranayama, Breathing Exercises",1
Alopecia,Varies,"Balanced diet, High-protein",Stressful lifestyle,"Ginseng, Fenugreek","Bhringraj, Amla",Pitta,Avoid spicy foods; massage scalp regularly with herbal oils.,"Gentle Yoga, Head Massage",1
Alzheimer's Disease,"Progressive, Lifelong","Low-fat, High-antioxidant","Sedentary lifestyle, Aging","Ginkgo Biloba, Turmeric","Brahmi, Ashwagandha","Vata, Pitta",Include brain-boosting herbs like Brahmi; engage in memory exercises.,"Meditation, Memory Exercises",2
Amebiasis,"Varies, depending on severity","Low-fat, High-carb diet",Travel to endemic areas,"Papaya Seeds, Garlic","Kutki, Triphala","Pitta, Kapha",Avoid raw foods; consume easily digestible meals.,Yoga for Digestion,1
Amyotrophic Lateral Sclerosis (ALS),"Progressive, Lifelong","High-protein, Low-fat","Sedentary lifestyle, Work stress",None specific,"Ashwagandha, Brahmi",Vata,Avoid stress; include grounding and nourishing foods.,"Gentle Yoga, Stretching",2
Argininemia,Lifelong,"High-protein, Low-fat",Active lifestyle,None specific,None specific,Vata,Include protein-restricted diet; practice stress management.,None specific,1
Argininosuccinic Aciduria,Lifelong,"High-protein, Low-fat",Active lifestyle,None specific,None specific,"Pitta, Vata",Avoid high-protein foods; consume fresh fruits and vegetables.,None specific,1
Arrhythmia,Lifelong,"Low-sodium, High-potassium","Sedentary lifestyle, Desk jobs","Hawthorn, Magnesium","Arjuna, Brahmi","Vata, Pitta",Avoid caffeine; include grounding foods and practice meditation.,"Pranayama, Surya Namaskar",2
Ascariasis,Varies,"Low-fat, High-carb diet",Exposure to unsanitary conditions,None specific,"Haritaki, Trifala","Kapha, Pitta",Avoid raw and contaminated foods; focus on hygiene.,Yoga for Digestion,2
Asparagine Synthetase Deficiency,Lifelong,"High-protein, Low-fat","Active lifestyle, Special care",None specific,None specific,Vata,"Avoid processed foods; provide a nutrient-rich, balanced diet.",None specific,2
Aspartylglucosaminuria,Lifelong,"High-protein, Low-carb","Active lifestyle, Medical care",None specific,None specific,Vata,Avoid heavy foods; provide fresh fruits and vegetables.,None specific,2
Atherosclerosis,Lifelong,"Low-fat, High-fiber","Sedentary lifestyle, High-stress work","Garlic, Turmeric","Arjuna, Ashwagandha","Kapha, Pitta",Avoid fatty foods; include fiber-rich and antioxidant foods.,"Pranayama, Surya Namaskar",3
Autosomal Dominant Polycystic Kidney Disease,Lifelong,"Low-sodium, High-potassium","Sedentary lifestyle, Family care","Nettle Leaf, Dandelion","Punarnava, Gokshura","Kapha, Pitta",Avoid salty foods; drink plenty of water to flush the system.,"Pranayama, Yoga for Kidney Health",2
Back Pain,Varies,"Balanced diet, High-protein","Sedentary lifestyle, Office jobs","Turmeric, Ginger","Guggulu, Ashwagandha",Vata,Avoid heavy lifting; practice stretching and yoga regularly.,Yoga for Back Pain,2
Barth Syndrome,Lifelong,"Low-sodium, High-protein",Special medical care,None specific,"Arjuna, Ashwagandha","Vata, Pitta",Include nutrient-dense foods and avoid strenuous activities.,"Gentle Yoga, Cardiovascular Yoga",2
Brugada Syndrome,Lifelong,"Low-sodium, High-potassium","Sedentary lifestyle, High-stress work",None specific,None specific,"Vata, Pitta",Avoid stress and caffeine; include magnesium-rich foods.,"Gentle Yoga, Stress Reduction",1
Bubonic Plague,2-4 weeks,"Balanced, High-protein","Poor sanitation, Rural areas",None specific,None specific,"Kapha, Pitta",Practice hygiene; avoid crowded places and eat light meals.,None specific,1
Buruli Ulcer,6-12 months,"Low-fat, High-protein","Rural, Remote areas",None specific,None specific,Pitta,Avoid spicy foods; clean ulcers with antiseptic solutions.,None specific,1
COVID-19,"2-4 weeks, may vary","Low-carb, High-protein","Work from home, Social distancing","Elderberry, Echinacea","Ashwagandha, Tulsi","Kapha, Pitta","Practice hygiene, stay hydrated, and boost immunity with herbs.","Pranayama, Breathing Exercises",1
Canavan Disease,Lifelong,"High-calcium, Low-protein","Special care, Home care",None specific,None specific,Vata,"Provide a nutrient-dense, balanced diet; avoid stress.",None specific,1
Carbamoyl Phosphate Synthetase I Deficiency Disease,Lifelong,"High-protein, Low-fat","Active lifestyle, Medical care",None specific,None specific,Pitta,"Avoid high-protein foods; provide small, frequent meals.",None specific,1
Cardiomyopathy,Lifelong,"Low-sodium, High-potassium","Sedentary lifestyle, High-stress work","Hawthorn, Magnesium","Arjuna, Ashwagandha","Vata, Pitta",Avoid heavy exertion; include antioxidant-rich foods.,"Pranayama, Cardio Yoga",2
Carpal Tunnel Syndrome,"Varies, depending on severity","Anti-inflammatory, High-protein","Office work, Computer usage",None specific,"Ashwagandha, Turmeric",Vata,Avoid repetitive wrist motions; perform hand stretches daily.,"Wrist Exercises, Stretching",1
Celiac Disease,Lifelong,"Gluten-free, High-protein",Exposure to gluten,None specific,"Kutki, Triphala","Vata, Pitta","Avoid gluten; include rice, lentils, and fresh vegetables.",None specific,2
Cerebrotendinous Xanthomatosis,Lifelong,"Low-fat, Low-cholesterol",Special medical care,None specific,None specific,Vata,Include antioxidant-rich foods; avoid fatty foods.,None specific,1
Chagas Disease,Lifelong,"Low-sodium, High-potassium","Rural, Remote areas",None specific,None specific,"Pitta, Kapha",Avoid raw foods; maintain proper hygiene and rest.,None specific,1
Chickenpox,1-2 weeks,"Balanced, High-protein","Close contact, Schools",None specific,"Neem, Tulsi",Pitta,Avoid spicy foods; drink coconut water and stay hydrated.,None specific,1
Chikungunya,1-2 weeks,"Balanced, High-protein","Rural, Tropical areas",None specific,"Ashwagandha, Guggulu","Vata, Pitta",Avoid heavy physical activity; drink warm soups and herbal teas.,"Pranayama, Joint Stretches",1
Chromoblastomycosis,6-12 months,"Balanced, Low-protein","Poor hygiene, Rural areas",None specific,"Neem, Turmeric","Kapha, Pitta",Maintain proper hygiene; avoid raw and contaminated foods.,None specific,1
Chronic Kidney Disease (CKD),Lifelong,"Low-sodium, High-potassium","Sedentary lifestyle, High-stress work","Nettle Leaf, Dandelion","Punarnava, Gokshura","Kapha, Pitta",Avoid salty foods; drink plenty of water to flush toxins.,"Pranayama, Kidney Yoga",1
Chronic Obstructive Pulmonary Disease (COPD),Lifelong,"Low-fat, High-protein","Sedentary, Smoky areas","Eucalyptus, Licorice","Tulsi, Ginger","Kapha, Vata",Avoid smoking and cold environments; practice pranayama.,"Pranayama, Chest Exercises",1
Ciguatera Poisoning,1-2 weeks,"Balanced, High-protein",Seafood industry,None specific,None specific,"Kapha, Pitta",Stay hydrated; avoid seafood and consume warm foods.,None specific,1
Clonorchiasis,2-4 weeks,"High-protein, Low-fat","Rural, Fishing areas",None specific,None specific,Pitta,"Avoid fatty foods; include light, easily digestible meals.",None specific,1
Coffin-Lowry Syndrome,Lifelong,"High-calcium, Low-protein","Special care, Home care",None specific,None specific,Vata,"Provide a balanced, nutrient-rich diet; avoid processed foods.",None specific,1
Cold,7-10 days,"Balanced, High-protein","Close contact, Schools","Honey, Ginger","Ginger, Tulsi",Kapha,Avoid cold drinks; drink warm soups and inhale steam regularly.,"Restorative Yoga, Breathing",1
Colorectal Cancer,6 months to lifelong,"Low-fiber, High-protein","Sedentary, High-stress jobs",None specific,"Ashwagandha, Guggulu","Kapha, Pitta",Include fiber-rich foods; avoid processed and fatty foods.,Yoga for Post-Surgery Rehabilitation,2
Contact Dermatitis,1-4 weeks,"Low-fat, Balanced",Occupational exposure,"Aloe Vera, Chamomile","Aloe Vera, Neem",Pitta,Avoid allergens; apply soothing herbal pastes and avoid spicy foods.,"Gentle Skin Care, Moisturization",1
Coronary Artery Disease,Lifelong,"Low-fat, Low-sodium","Sedentary lifestyle, High-stress jobs","Garlic, Hawthorn","Arjuna, Guggulu","Kapha, Pitta",Avoid oily and fatty foods; include whole grains and exercise regularly.,"Yoga for Heart Health, Breathing Exercises",2
Costello Syndrome,Lifelong,"High-calcium, Low-protein","Special care, Home care",None specific,"Ashwagandha, Brahmi","Vata, Pitta",Provide nutrient-dense meals; avoid heavy physical strain.,"Gentle Stretching, Strengthening Exercises",1
Crigler-Najjar Syndrome,Lifelong,"High-calcium, Low-protein","Special care, Home care",None specific,"Neem, Amla",Pitta,"Avoid fatty foods; provide small, frequent meals.",None specific,1
Crimean-Congo Hemorrhagic Fever,2-4 weeks,"High-calcium, Balanced","Rural, Agricultural areas",None specific,None specific,"Kapha, Pitta",Avoid crowded places; practice proper hygiene and rest.,None specific,1
Crohn's Disease,Lifelong,"High-fiber, Low-fat","Sedentary, Stressful work","Turmeric, Aloe Vera","Turmeric, Triphala","Pitta, Kapha",Avoid spicy foods; include probiotics and fiber-rich foods.,"Yoga for Digestive Health, Stress Reduction",2
Cryptosporidiosis,1-2 weeks,"Balanced, High-protein",Poor sanitation areas,None specific,None specific,"Kapha, Pitta",Maintain hygiene; avoid contaminated water and food.,None specific,1
Cushing's Syndrome,Lifelong,"High-protein, Low-sodium","Sedentary, Stressful work",None specific,"Ashwagandha, Triphala",Kapha,Avoid processed foods; include leafy greens and exercise regularly.,"Stress Management, Yoga for Balance",1
Cystic Fibrosis,Lifelong,"Low-fat, High-calcium","Sedentary, Home care",None specific,"Ashwagandha, Guduchi","Kapha, Vata",Stay hydrated; include antioxidant-rich foods and breathing exercises.,"Chest Exercises, Breathing Techniques",3
Cysticercosis,6 months to lifelong,"Low-fiber, High-protein","Rural, Agricultural areas",None specific,None specific,"Pitta, Kapha",Avoid contaminated foods; practice proper hygiene.,None specific,1
Cystinosis,Lifelong,"Low-protein, High-calcium","Home care, Sedentary",None specific,"Amla, Ashwagandha",Kapha,Stay hydrated; include low-sodium meals and avoid heavy foods.,None specific,1
Dandruff,2-4 weeks,"Balanced, Low-fat","Urban, Stressful jobs","Tea Tree Oil, Aloe Vera","Neem, Aloe Vera","Kapha, Pitta",Avoid oily and processed foods; keep the scalp clean and dry.,"Scalp Massage, Stress Reduction",1
Dementia,Lifelong,"High-calcium, Low-protein","Sedentary, Caregiver stress",None specific,"Brahmi, Ashwagandha",Vata,Provide a balanced diet; include brain-boosting foods like nuts and seeds.,"Cognitive Therapy, Memory Training",2
Dengue Fever,1-2 weeks,"High-protein, Hydrating","Rural, Tropical areas",None specific,None specific,Pitta,Stay hydrated; include coconut water and rest adequately.,"Rest, Hydration",2
Dengue Hemorrhagic Fever,2-4 weeks,"High-protein, Hydrating","Rural, Tropical areas",None specific,None specific,Pitta,Avoid strenuous activities; consume light meals and herbal teas.,None specific,1
Dentinogenesis Imperfecta,Lifelong,"High-calcium, Low-protein",Sedentary lifestyle,None specific,None specific,"Kapha, Pitta",Include calcium-rich foods; avoid sugary and acidic foods.,None specific,1
Depression,6 months to lifelong,"Balanced, Low-sodium","Sedentary, Stressful jobs","St. John's Wort, Ashwagandha","Ashwagandha, Brahmi","Vata, Pitta",Avoid alcohol and caffeine; practice mindfulness and yoga.,"Yoga for Mental Health, Breathing",2
Desbuquois Dysplasia,Lifelong,"High-calcium, Low-protein","Special care, Home care",None specific,"Ashwagandha, Guggulu","Vata, Kapha","Include nutrient-dense foods; avoid heavy, processed foods.",None specific,1
Diabetes Mellitus Type 1 and Type 2,Lifelong,"Low-carb, High-fiber",Sedentary lifestyle,"Cinnamon, Fenugreek","Bitter Melon, Gymnema Sylvestre",Kapha,Avoid refined sugars; include high-fiber foods and exercise regularly.,Yoga for Blood Sugar Control,1
Digestive Disorders,2-4 weeks to lifelong,"Low-fiber, High-fat","Sedentary, High-stress jobs","Peppermint, Ginger","Triphala, Ginger","Pitta, Vata","Avoid fried and greasy foods; eat small, frequent meals.",Yoga for Digestive Health,1
Dihydropyrimidine Dehydrogenase Deficiency,Lifelong,"Low-protein, High-calcium","Special care, Home care",None specific,None specific,Pitta,Avoid stress; drink herbal teas like chamomile.,None specific,1
Diphtheria,2-4 weeks,"Balanced, High-protein",Poor sanitation areas,None specific,None specific,"Kapha, Pitta",Avoid cold foods; drink warm herbal teas and soups.,None specific,1
Down Syndrome,Lifelong,"Balanced, High-calcium","Special care, Home care",None specific,"Brahmi, Ashwagandha","Vata, Pitta","Provide a balanced, nutrient-dense diet; include sensory stimulation.","Gentle Physical Therapy, Stretching",1
Dracunculiasis,1-2 months,"Balanced, High-protein",Poor sanitation areas,None specific,None specific,Kapha,Maintain proper hygiene; avoid contaminated water.,None specific,1
Duchenne Muscular Dystrophy,Lifelong,"High-calcium, Low-protein","Special care, Home care",None specific,"Ashwagandha, Guggulu","Vata, Pitta",Include protein-rich foods; avoid excessive physical exertion.,"Strengthening Exercises, Stretching",1
Dyggve-Melchior-Clausen Syndrome,Lifelong,"Low-protein, High-calcium","Special care, Home care",None specific,None specific,"Vata, Kapha","Avoid cold foods; provide a balanced, nutritious diet.",None specific,1
Ebola,2-4 weeks,"Balanced, High-protein",Poor sanitation areas,None specific,None specific,Pitta,Avoid direct contact with infected individuals; practice hygiene.,None specific,1
Ebola Virus,2-4 weeks,"Balanced, High-protein",Poor sanitation areas,None specific,None specific,"Pitta, Kapha",Practice good hygiene; avoid direct contact with infected individuals.,None specific,1
Echinococcosis,3-6 months,"Low-protein, High-calcium",Poor sanitation areas,None specific,"Neem, Amla",Kapha,Avoid raw meat; include fiber-rich foods in the diet.,None specific,1
Eczema (Atopic Dermatitis),2-4 weeks to lifelong,"High-moisture, Hypoallergenic",High stress jobs,"Aloe Vera, Oatmeal","Neem, Aloe Vera",Pitta,Avoid allergens; apply moisturizing creams and use mild soaps.,"Skin Care, Stress Reduction",1
Emphysema,Lifelong,"Low-sodium, High-fiber","Sedentary, Pollution areas",None specific,None specific,"Kapha, Vata",Avoid smoking; perform breathing exercises and consume light meals.,"Breathing Exercises, Physical Therapy",1
Endometriosis,Lifelong,"Balanced, Low-fat","Stressful jobs, Sedentary",None specific,"Ashwagandha, Shatavari","Vata, Pitta",Avoid spicy foods; include anti-inflammatory foods like turmeric.,"Yoga for Pelvic Health, Relaxation",1
Enterobiasis,1-2 weeks,"Balanced, High-protein",Poor sanitation areas,None specific,None specific,"Vata, Pitta",Maintain hygiene; avoid sugary foods and consume fiber-rich meals.,None specific,1
Epilepsy,Lifelong,"Balanced, High-protein","Sedentary, High-stress jobs",None specific,"Brahmi, Ashwagandha",Vata,Avoid excessive screen time; practice mindfulness and yoga.,"Relaxation, Mindfulness",3
Fascioliasis,1-3 months,"Low-protein, High-calcium",Poor sanitation areas,None specific,None specific,"Pitta, Kapha",Avoid raw water or food; consume light meals and stay hydrated.,None specific,1
Fibromyalgia,Lifelong,"Balanced, Anti-inflammatory","Sedentary, Stressful jobs",None specific,"Ashwagandha, Guggulu",Vata,Include anti-inflammatory foods like turmeric; avoid stress.,"Yoga for Relaxation, Stretching",2
Filariasis,1-2 months,"Low-fat, High-protein",Poor sanitation areas,None specific,None specific,"Kapha, Pitta",Avoid stagnant water; maintain proper hygiene.,None specific,1
Fragile X Syndrome,Lifelong,"Balanced, Nutrient-rich","Special care, Home care",None specific,None specific,"Vata, Pitta",Provide a balanced diet with omega-3 fatty acids; avoid processed foods.,None specific,1
Gallstones,1-3 weeks,"Low-fat, High-fiber",Sedentary lifestyle,None specific,None specific,Pitta,Avoid fatty and fried foods; include fiber-rich foods and drink plenty of water.,None specific,2
Gastroesophageal Reflux Disease (GERD),2-4 weeks,"Low-fat, Small meals","Sedentary lifestyle, Stress",None specific,"Triphala, Guduchi",Pitta,"Avoid spicy and acidic foods; consume smaller, frequent meals.","Yoga for Digestion, Stress Management",1
Giardiasis,2-4 weeks,"Balanced, Hydrating foods",Poor sanitation areas,None specific,None specific,Pitta,Avoid untreated water; drink herbal teas and eat light meals.,None specific,1
Glomerulonephritis,3-6 months,"Low-sodium, High-protein","Sedentary lifestyle, Stress",None specific,None specific,"Vata, Kapha",Avoid salty foods; drink plenty of water and follow low-protein diet.,None specific,2
Gout,1-2 weeks,"Low-fat, Low-purine",Sedentary lifestyle,"Cherries, Ginger",None specific,"Vata, Pitta",Avoid purine-rich foods (like red meat); consume more fruits and vegetables.,"Stretching, Joint Mobility Exercises",2
Graves Disease,Lifelong,"Balanced, Iodine-rich","Sedentary, High-stress jobs",None specific,"Ashwagandha, Brahmi","Pitta, Vata",Avoid stimulating foods like caffeine; practice stress reduction.,"Yoga for Thyroid Health, Relaxation",1
Guillain-Barre Syndrome,1-3 months,"Balanced, High-calcium","Sedentary lifestyle, Stress",None specific,None specific,"Vata, Pitta",Include light exercises; avoid cold or damp environments.,"Physical Therapy, Stretching",1
Guinea Worm Disease,3-6 months,"Low-fat, Hydrating foods",Poor sanitation areas,None specific,None specific,"Kapha, Pitta",Maintain hygiene; avoid drinking contaminated water.,None specific,1
HIV/AIDS,Lifelong,"Balanced, High-protein",Sedentary lifestyle,None specific,None specific,"Vata, Pitta",Follow a balanced diet rich in vitamins; avoid exposure to infections.,None specific,1
Hair Loss,Varies,"Balanced, Protein-rich","Sedentary lifestyle, Stress","Saw Palmetto, Aloe Vera","Bhringraj, Amla","Pitta, Kapha",Maintain scalp hygiene; avoid stress and use herbal oils for massage.,"Scalp Massage, Stress Reduction",1
"Hand, Foot, and Mouth Disease",1-2 weeks,"Low-fat, Hydrating foods",Poor hygiene areas,None specific,None specific,Pitta,Avoid spicy foods; maintain hydration and rest.,"Rest, Hydration",1
Hantavirus Pulmonary Syndrome,2-4 weeks,"Low-fat, Hydrating foods",Poor sanitation areas,None specific,None specific,"Vata, Kapha","Avoid contact with rodents; consume warm, nutrient-rich foods.","Breathing Exercises, Physical Therapy",1
Hashimoto's Thyroiditis,Lifelong,"Balanced, Iodine-rich",Sedentary lifestyle,None specific,"Ashwagandha, Shatavari",Vata,Avoid goitrogenic foods like soy; ensure adequate iodine intake.,"Yoga for Thyroid Health, Relaxation",1
Heart Attack (Myocardial Infarction),1-3 months,"Low-fat, High-fiber","Sedentary lifestyle, Stress",None specific,"Arjuna, Ashwagandha","Pitta, Vata",Avoid fatty foods; practice deep breathing exercises and stress management.,"Physical Therapy, Cardiovascular Exercises",2
Heart Disease,Lifelong,"Low-fat, Low-sodium","Sedentary lifestyle, Stress",None specific,"Arjuna, Brahmi","Vata, Pitta","Avoid smoking, trans fats; include fiber-rich foods in the diet.","Physical Therapy, Cardiovascular Exercises",1
Heart Failure,Lifelong,"Low-sodium, High-protein","Sedentary lifestyle, Stress",None specific,"Arjuna, Brahmi","Pitta, Vata",Avoid excess salt and fluids; eat heart-healthy foods like oats.,"Breathing Exercises, Physical Therapy",1
Hemochromatosis,Lifelong,"Low-iron, High-fiber",Sedentary lifestyle,None specific,"Amla, Guduchi","Pitta, Vata",Avoid iron-rich foods; increase consumption of antioxidant-rich foods.,None specific,1
Hemophilia,Lifelong,"High-protein, Iron-rich",Sedentary lifestyle,None specific,None specific,Kapha,Avoid injury-prone activities; maintain a diet rich in vitamin K.,None specific,1
Hendra Virus Infection,1-3 weeks,"Low-fat, Hydrating foods",Exposure to animals,None specific,None specific,"Vata, Pitta",Avoid contact with infected animals; maintain good hygiene.,None specific,1
Hepatitis,1-6 months,"Low-fat, High-fiber",Sedentary lifestyle,None specific,"Bhumi Amla, Turmeric",Pitta,Avoid alcohol and fatty foods; consume liver-detoxifying herbs.,Liver Detoxification Exercises,3
Hepatitis A,1-2 months,"Low-fat, Hydrating foods",Poor hygiene areas,None specific,"Amla, Guduchi","Pitta, Vata",Avoid raw food and unclean water; consume bitter foods like neem.,"Rest, Hydration",1
Hepatitis B,1-6 months,"Low-fat, High-fiber",Sedentary lifestyle,None specific,"Guduchi, Bhumyamalaki",Pitta,Maintain good hygiene; avoid alcohol and greasy foods.,"Yoga for Liver Health, Breathing Exercises",1
Hepatitis C,2-6 months,"Low-fat, High-fiber",Sedentary lifestyle,None specific,"Amla, Guduchi","Vata, Pitta",Avoid fatty foods; drink plenty of water and detoxifying herbal teas.,"Liver Detoxification, Breathing Exercises",1
Histoplasmosis,1-6 months,"Low-fat, Hydrating foods",Exposure to contaminated areas,None specific,"Ashwagandha, Guduchi","Vata, Pitta",Avoid damp environments; include anti-inflammatory foods like ginger.,Respiratory Exercises,1
Hookworm Infection,1-2 months,"Low-fat, Hydrating foods",Poor sanitation areas,None specific,None specific,"Vata, Kapha",Avoid walking barefoot in contaminated areas; practice proper hygiene.,None specific,1
Huntington's Disease,Lifelong,"Balanced, High-fiber",Sedentary lifestyle,None specific,None specific,"Vata, Pitta",Avoid stress; maintain a diet rich in omega-3 fatty acids.,None specific,1
Hydronephrosis,1-3 months,"Low-sodium, Hydrating foods",Sedentary lifestyle,None specific,None specific,"Kapha, Vata",Avoid excess salt; maintain hydration with fresh herbal teas.,None specific,1
Hypercholesterolemia,Lifelong,"Low-fat, High-fiber",Sedentary lifestyle,None specific,None specific,Pitta,Avoid trans fats; consume more fiber and antioxidants.,Cardiovascular Exercises,1
