disease_name,Duration of Treatment,dietary_advice,lifestyle_changes,herbs,herbs,dosha_involvement,dietary_advice,yoga_pranayama,total_cases
Rosacea,Lifelong,"Low-fat, High-protein diet",Avoids hot drinks,"Herbal Remedies, Diet Changes","Aloe Vera, Turmeric",Pitta,Maintain a gentle skincare routine; avoid spicy and hot foods.,None specific,1
Schistosomiasis,1-2 months,"Hydrating, Low-sugar diet",Avoids contaminated water,"Wormwood, Ginger","Neem, Turmeric",Pitta,Focus on detoxification; avoid contaminated water sources.,0,1
Scoliosis,Variable,"Balanced, High-nutrient diet",Requires back support,0,"Ashwagandha, Guggul","Vata, Pitta",Maintain good posture; include strengthening exercises and a balanced diet.,Yoga for spine flexibility,1
Seborrheic Dermatitis,Ongoing management,"Low-fat, High-protein diet",Avoids greasy foods,"Tea tree oil, Aloe vera","Neem, Turmeric",Pitta,Follow a gentle skincare routine; avoid spicy and oily foods.,"Pranayama, Scalp massage",1
Septicemic Plague,Immediate treatment (weeks),"Hydrating, Low-sugar diet",Avoids rodent exposure,0,0,Pitta,Avoid contact with infected individuals; focus on immune-boosting foods.,0,1
Sexual Dysfunction,Ongoing management,"Low-fat, High-protein diet",Requires counseling,"Maca root, Ginseng","Ashwagandha, Shatavari","Vata, Kapha",Focus on stress reduction; maintain a healthy diet rich in antioxidants.,0,1
Sickle Cell Anemia,Lifetime management,"High-calorie, Iron-rich diet",Requires hydration,0,"Ashwagandha, Gudmar","Vata, Pitta",Maintain hydration; include iron-rich foods like spinach and lentils.,0,2
Sjogren's Syndrome,Ongoing management,"Hydrating, Low-sodium diet",Requires special care,0,"Ashwagandha, Guggul","Vata, Pitta",Stay hydrated; avoid dry and cold environments; include anti-inflammatory foods.,0,1
Skin Cancer (Melanoma),"Surgical removal, Radiation","Low-fat, High-protein diet",Avoids excessive sun,"Aloe vera, Turmeric","Neem, Turmeric",Pitta,Protect skin from sun exposure; focus on antioxidant-rich foods like berries.,0,2
Skin Diseases,Varies based on type,"Balanced, High-nutrient diet",Requires hygiene practices,"Aloe vera, Tea tree oil","Neem, Turmeric",Pitta,Follow a gentle skincare routine; avoid harsh chemicals and spicy foods.,"Pranayama, Hydration",1
"Skin Infections (Bacterial, Fungal, Viral)",1-2 weeks (depends on type),"Balanced, High-nutrient diet",Requires hygiene practices,"Garlic, Tea tree oil","Neem, Turmeric",Pitta,Focus on hygiene; avoid sharing personal items; maintain a healthy diet.,0,1
Skin Rash,"Varies, from days to weeks","Low-fat, High-protein diet",Requires skin care,"Aloe vera, Chamomile","Aloe vera, Ashwagandha",Pitta,Avoid allergens; keep skin moisturized; include fiber-rich foods in the diet.,"Pranayama, Hydration",1
Sleep Apnea,Ongoing management,"Low-fat, High-protein diet",Requires regular sleep schedule,0,"Ashwagandha, Brahmi","Vata, Kapha",Maintain a regular sleep schedule; practice deep breathing exercises.,"Breathing exercises, Pranayama",2
Sleeping Sickness (Trypanosomiasis),2-3 weeks,"Hydrating, Low-sugar diet",Avoids insect exposure,0,0,Pitta,Avoid mosquito bites; focus on immune-boosting foods.,0,1
Sparganosis,3-6 months,"Low-fat, High-protein diet",Avoids undercooked food,0,0,"Vata, Kapha",Ensure good hygiene; avoid undercooked food; stay hydrated.,0,1
Stroke,Immediate treatment (acute phase),"Low-sodium, High-fiber diet",Requires rehabilitation,0,"Brahmi, Ashwagandha","Vata, Pitta",Monitor blood pressure; focus on a balanced diet and regular exercise.,"Physical therapy, Speech therapy",2
Strongyloidiasis,1-2 weeks,"Hydrating, Low-sugar diet",Avoids contaminated water,0,0,"Vata, Pitta",Avoid contaminated water; increase fiber intake to support digestion.,0,1
Talaromycosis,2-4 weeks,"Balanced, High-nutrient diet",Avoids fungal exposure,0,0,"Vata, Kapha","Focus on immunity; avoid damp, moldy environments.",0,1
Tay-Sachs Disease,Lifelong care,"Low-fat, High-protein diet",Requires special care,0,0,"Vata, Pitta","Support cognitive and motor function; provide a balanced, nutritious diet.",0,1
Tendinitis,1-6 weeks,"Low-fat, High-protein diet",Requires physical therapy,"Herbal Remedies, Ice, Massage",None specific,"Vata, Pitta",Focus on joint health; include anti-inflammatory foods like fish and turmeric.,"Stretching, Strengthening Exercises",1
Tetanus,1-2 weeks,"Balanced, High-protein diet",Requires wound care,None specific,None specific,"Vata, Kapha",Maintain a clean environment; avoid injuries; focus on immune health.,None specific,1
Thalassemia,Lifelong,"Low iron, High-protein diet",Requires blood transfusions,None specific,None specific,"Vata, Pitta","Maintain iron levels; focus on a nutrient-rich diet, including leafy greens.",None specific,1
Toxocariasis,1-6 months,"Balanced, High-fiber diet",Avoids contact with pets,None specific,None specific,Pitta,Avoid exposure to contaminated soil; focus on digestive health.,None specific,1
Toxoplasmosis,1-2 months,"Low-fat, High-protein diet",Avoids undercooked meat,None specific,None specific,"Vata, Pitta",Focus on immune-boosting foods; avoid raw meats and contaminated water.,None specific,1
Trachoma,1-2 weeks,"Balanced, High-fiber diet",Requires hygiene practices,None specific,None specific,Pitta,Practice eye hygiene; avoid sharing towels; use protective eyewear.,None specific,1
Trichinellosis,2-4 weeks,"Low-fat, High-protein diet",Avoids undercooked meat,None specific,None specific,"Vata, Kapha",Avoid undercooked pork; maintain good digestive health.,None specific,1
Trichuriasis,1-2 weeks,"Hydrating, Low-sugar diet",Avoids contaminated water,None specific,None specific,"Vata, Pitta",Avoid contaminated water and food; support digestive health with fiber.,None specific,1
Tuberculosis,6-12 months,"Low-fat, High-protein diet",Requires medication regimen,None specific,None specific,Pitta,Follow a TB treatment plan; avoid smoking and focus on lung health.,Breathing Exercises,3
Tularemia,1-2 weeks,"Balanced, High-protein diet",Avoids insect exposure,None specific,None specific,"Vata, Pitta",Focus on boosting immunity; avoid insect bites and infected animals.,None specific,1
Tungiasis,1-2 weeks,"Low-fat, High-protein diet",Avoids sand flea exposure,None specific,None specific,Pitta,Avoid walking barefoot in sandy areas; focus on skin health.,None specific,1
Type 1 Diabetes,Lifelong,"Low-carb, High-protein diet",Requires monitoring glucose levels,"Herbal Remedies, Diet Changes","Bitter Melon, Gymnema Sylvestre","Kapha, Pitta","Focus on a low-carb, high-fiber diet; maintain regular physical activity.",Regular Exercise,1
Typhus,1-2 weeks,"Balanced, High-fiber diet",Avoids insect bites,None specific,None specific,Pitta,Stay hydrated; maintain good hygiene and avoid contaminated environments.,None specific,1
Ulcerative Colitis,Lifelong,"Low-fat, High-protein diet",Requires stress management,None specific,None specific,"Vata, Pitta",Focus on gut health; avoid spicy foods and processed sugars.,None specific,1
Urinary Tract Infections (UTIs),1-2 weeks,"Hydrating, Low-sugar diet",Avoids holding urine,"Herbal Remedies, Cranberry Juice",None specific,Pitta,"Stay hydrated, avoid acidic foods, maintain proper hygiene.",None specific,1
Vitiligo,Lifelong,"Balanced, High-protein diet",Requires sun protection,"Herbal Remedies, Sun Exposure",None specific,Pitta,"Protect skin from sun exposure, consume anti-inflammatory foods.",None specific,1
West Nile Virus,1-2 weeks,"Balanced, Hydrating diet",Avoids mosquito bites,None specific,None specific,Pitta,"Avoid mosquito exposure, boost immunity with vitamin C and antioxidants.",None specific,1
Wilson's Disease,Lifelong,Low-copper diet,Requires copper monitoring,None specific,None specific,Pitta,"Avoid copper-rich foods (e.g., shellfish), follow a liver-supporting diet.",None specific,1
Yaws,1-2 weeks,"Balanced, High-protein diet",Avoids skin contact,None specific,None specific,Pitta,"Maintain hygiene, use anti-inflammatory foods and avoid scratching.",None specific,1
Yellow Fever,2-4 weeks,"Low-fat, High-protein diet",Requires mosquito protection,None specific,None specific,Pitta,"Avoid mosquito bites, stay hydrated, and rest to support recovery.",None specific,1
Zika Virus,1-2 weeks,"Hydrating, Low-sugar diet",Avoids mosquito bites,None specific,None specific,Pitta,"Avoid mosquito bites, stay indoors during peak mosquito activity.",None specific,2
Zoonotic Malaria,1-2 weeks,"High-protein, Low-carb diet",Avoids mosquito-infested areas,None specific,None specific,Pitta,"Prevent mosquito bites, maintain a clean environment, boost immunity.",None specific,1
Thyroid Disorders,Lifelong management,"Balanced, Iodine-rich diet",Requires thyroid monitoring,"Ashwagandha, Guggul","Ashwagandha, Shatavari","Vata, Pitta","Maintain a balanced diet with iodine-rich foods, practice stress-relieving activities.","Pranayama, Gentle stretching",1
"Autoimmune Diseases (e.g., Lupus)",Variable,"Balanced, Anti-inflammatory diet",Requires immune monitoring,"Turmeric, Ginger, Ashwagandha","Ashwagandha, Gudmar","Vata, Pitta","Avoid inflammatory foods, focus on anti-inflammatory and immune-supporting foods.",Yoga for flexibility and strength,1
"Cancer (Breast Cancer, Lung Cancer, Prostate Cancer, etc.)",Depends on cancer type,"Low-fat, Antioxidant-rich diet",Requires cancer screening,"Aloe vera, Turmeric, Green tea","Ashwagandha, Turmeric",Pitta,"Eat a nutrient-dense diet, manage stress, avoid alcohol and smoking.","Yoga for strength, Breathing exercises",1
Chronic Fatigue Syndrome,Long-term management,"Balanced, Nutrient-dense diet",Requires sleep management,"Ginseng, Rhodiola, Ashwagandha","Ashwagandha, Brahmi",Vata,"Focus on energy-boosting foods, establish a regular sleep routine.","Restorative yoga, Breathing exercises",2
Diabetes Mellitus,Lifetime management,"Low-carb, Low-sugar diet",Requires blood sugar monitoring,"Cinnamon, Bitter melon, Gymnema","Jamun, Gudmar","Vata, Kapha","Follow a low-glycemic, high-fiber diet, exercise regularly.","Surya Namaskar, Pranayama",1
"Hepatitis (A, B, C)",1-6 months,"Balanced, Liver-friendly diet",Requires liver monitoring,None specific,None specific,Pitta,"Avoid alcohol, maintain liver-friendly foods like leafy greens and beets.",None specific,1
Weight Loss,Varies,"High-protein, High-calorie diet",Requires regular monitoring,"Herbal Remedies, Low-Calorie Diet","Garcinia Cambogia, Green Tea","Vata, Pitta","Focus on balanced meals, avoid processed sugars and refined carbs.",Regular Exercise,1
Weight Gain,Varies,"High-carb, Low-calorie diet",Requires exercise and monitoring,"Herbal Remedies, High-Calorie Diet","Fenugreek, Ginseng",Kapha,"Reduce heavy, oily foods, include more fiber-rich and light meals.",Regular Exercise,1
Acanthosis Nigricans,Varies,"Low-sugar, Low-carb diet",Requires diabetes management,None specific,None specific,"Pitta, Kapha","Apply Aloe Vera gel daily, avoid spicy foods.",None specific,1
Anemia,Varies,"High-iron, High-folate diet",Requires regular monitoring,"Iron Supplements, Vitamin C","Iron-Rich Foods (Spinach, Red Meat)",Pitta,"Include iron-rich foods, avoid caffeine with meals.","Iron Supplements, Regular Monitoring",1
Angina,Varies,"Low-fat, Low-sodium diet",Requires regular monitoring,None specific,None specific,"Vata, Kapha","Reduce stress, avoid high-fat foods, regular cardiovascular exercise.",Cardiac Rehabilitation,1
Anxiety Disorder,Varies,"Low-caffeine, Balanced diet",Requires therapy,Herbal Remedies (Valerian Root),"Ashwagandha, Brahmi",Vata,"Practice deep breathing exercises, limit caffeine, establish a sleep routine.","Meditation, Deep Breathing",1
Aortic Aneurysm,Lifelong,"Low-fat, Low-sodium diet",Requires regular monitoring,None specific,None specific,"Vata, Pitta","Avoid strenuous activity, maintain blood pressure with a low-salt diet.",None specific,1
Aphasia,Varies,"High-protein, Balanced diet",Requires speech therapy,None specific,None specific,"Vata, Pitta","Engage in speech therapy, avoid stress, eat a balanced diet.","Speech Therapy, Cognitive Therapy",1
Atopic Dermatitis,Lifelong,"High-moisture, Hypoallergenic diet",Requires skin care routine,"Aloe Vera, Coconut Oil","Neem, Turmeric",Pitta,"Avoid spicy foods, drink plenty of water, use moisturizing oils.","Topical Treatment, Stress Management",1
Autoimmune Hepatitis,Lifelong,"Low-fat, High-protein diet",Requires ongoing medication,None specific,None specific,Pitta,"Avoid alcohol, consume liver-supporting foods like bitter greens.",None specific,1
Bacterial Infections,1-2 weeks,"Balanced, High-vitamin diet",Requires antibiotics,"Garlic, Echinacea",None specific,"Pitta, Kapha","Maintain good hygiene, eat immune-boosting foods like ginger and turmeric.",None specific,1
Bipolar Disorder,Lifelong,"Low-caffeine, Balanced diet",Requires therapy,Herbal Remedies (St. John's Wort),"Ashwagandha, Brahmi","Vata, Pitta","Regular sleep patterns, manage stress with yoga and meditation.","Cognitive Therapy, Stress Management",2
Bladder Cancer,6-12 months,"Low-fat, High-antioxidant diet",Requires ongoing monitoring,None specific,None specific,"Vata, Kapha","Drink plenty of water, avoid bladder irritants like caffeine and alcohol.",None specific,1
Brain Tumors,6-12 months,"High-protein, Balanced diet",Requires ongoing monitoring,None specific,None specific,Pitta,Consume anti-inflammatory foods like turmeric and omega-3s.,None specific,1
Bronchiectasis,Lifelong,"Low-fat, High-antioxidant diet",Requires inhalers,None specific,None specific,"Vata, Kapha","Practice breathing exercises, stay hydrated, and avoid cold air.",Pulmonary Rehabilitation,1
Candidiasis,1-4 weeks,"Balanced, Low-sugar diet",Requires antifungal treatment,"Tea Tree Oil, Garlic","Neem, Turmeric",Pitta,"Avoid sugar, consume probiotic-rich foods like yogurt.",None specific,1
Cerebral Palsy,Lifelong,"High-protein, Balanced diet",Requires ongoing therapy,None specific,None specific,"Vata, Pitta","Engage in physical therapy, avoid processed foods, and practice gentle yoga.","Physical Therapy, Occupational Therapy",1
Chronic Sinusitis,1-3 months,"Low-sodium, Balanced diet",Requires nasal care routine,"Steam Inhalation, Neti Pot",None specific,"Vata, Kapha","Inhale steam with eucalyptus, avoid allergens, stay hydrated.",None specific,1
Cirrhosis,Lifelong,"Low-fat, High-protein diet",Requires ongoing monitoring,None specific,None specific,Pitta,"Avoid alcohol, eat liver-supporting foods like beets and bitter greens.",None specific,1
Cleft Lip and Palate,6-12 months,"Balanced, Nutrient-rich diet",Requires surgery,None specific,None specific,"Pitta, Vata","Follow speech therapy, eat soft foods, and avoid harsh chemicals.","Speech Therapy, Physical Therapy",1
Cold Sores,1-2 weeks,"Balanced, Low-sugar diet",Requires topical treatment,"Aloe Vera, Lemon Balm",None specific,Pitta,"Avoid stress, apply a cold compress to the affected area, eat antiviral foods.",None specific,1
Conjunctivitis,1-2 weeks,"Balanced, Nutrient-rich diet",Requires eye care routine,None specific,None specific,Pitta,"Practice good hygiene, avoid eye irritation, and wear sunglasses.",None specific,1
COPD (Chronic Obstructive Pulmonary Disease),Lifelong,"Low-sodium, High-antioxidant diet",Requires inhalers,None specific,None specific,"Vata, Kapha","Avoid smoking, stay in a smoke-free environment, and do breathing exercises.",Pulmonary Rehabilitation,1
Cystitis,1-2 weeks,"Balanced, High-fluid diet",Requires antibiotics,None specific,None specific,Vata,"Drink plenty of water, avoid caffeine, and practice good hygiene.",None specific,1
Diabetic Neuropathy,Lifelong,"Low-sugar, High-fiber diet",Requires pain management,"Alpha-Lipoic Acid, Vitamin B12",None specific,"Kapha, Vata","Maintain stable blood sugar levels, avoid refined sugars, and include bitter foods.",None specific,1
Diverticulitis,1-2 weeks,"High-fiber, Low-fat diet",Requires dietary control,None specific,None specific,"Vata, Pitta","Increase fiber intake, avoid processed foods, and drink plenty of water.",None specific,1
Dyslipidemia,Lifelong,"Low-fat, High-fiber diet",Requires monitoring,"Omega-3 Fatty Acids, Red Yeast Rice",None specific,"Vata, Pitta","Consume a heart-healthy diet rich in omega-3s, exercise regularly, and avoid trans fats.",None specific,1
Ear Infections,1-2 weeks,"Balanced, High-fluid diet",Requires ear care routine,"Garlic, Warm Compress",None specific,"Vata, Kapha","Avoid water in the ears, maintain good ear hygiene, and avoid cold air.",None specific,1
Erectile Dysfunction,Lifelong,"Low-fat, High-fiber diet",Requires medication,"Ginseng, Yohimbine",None specific,"Vata, Pitta","Avoid excessive alcohol, manage stress, and consume zinc-rich foods like pumpkin seeds.",None specific,1
Gallbladder Disease,Varies,"Low-fat, High-fiber diet",Requires surgery,None specific,None specific,Pitta,"Avoid high-fat foods, consume bitter herbs, and practice stress management techniques.",None specific,1
Gastroenteritis,1-2 weeks,"Balanced, High-fluid diet",Requires hydration,"Ginger, Peppermint",None specific,"Pitta, Kapha","Stay hydrated, avoid dairy and greasy foods, and eat bland foods like rice and toast.",None specific,1
Gingivitis,1-2 weeks,"Balanced, Sugar-free diet",Requires oral care routine,"Salt Water Rinse, Aloe Vera",None specific,Pitta,"Brush and floss regularly, use saltwater rinses, and avoid sugary foods.",None specific,1
Glaucoma,Lifelong,"Low-sugar, Balanced diet",Requires regular eye check-ups,None specific,None specific,Pitta,"Regular eye check-ups, avoid excessive screen time, and consume anti-inflammatory foods.",None specific,1
Goiter,Lifelong,Iodine-rich diet,Requires thyroid monitoring,"Iodine, Ashwagandha","Ashwagandha, Guggulu","Vata, Pitta","Ensure adequate iodine intake, avoid stress, and include sea vegetables in the diet.",None specific,1
Graves' Disease,Lifelong,"Low-sodium, Balanced diet",Requires thyroid monitoring,None specific,None specific,Pitta,"Avoid stress, reduce stimulants like caffeine, and maintain a balanced diet rich in vitamins.",None specific,1
Herpes Simplex Virus (HSV),Lifelong,"Low-sugar, Balanced diet",Requires medication for outbreaks,"Aloe Vera, Lemon Balm",None specific,Pitta,"Apply Aloe Vera gel, manage stress, and avoid acidic foods like citrus.",None specific,1
Hidradenitis Suppurativa,Lifelong,"Low-sugar, Balanced diet",Requires skin care routine,None specific,None specific,Pitta,"Practice good hygiene, avoid tight clothing, and eat anti-inflammatory foods like turmeric.",None specific,1
Hodgkin's Lymphoma,Months to Years,"Balanced, High-protein diet",Requires chemotherapy,None specific,"Ashwagandha, Turmeric",Pitta,"Follow cancer treatment, maintain a healthy immune system with a nutrient-rich diet.","Supportive Care, Physical Activity",1
Hyperlipidemia,Lifelong,"Low-fat, High-fiber diet",Requires monitoring,"Omega-3 Fatty Acids, Red Yeast Rice",None specific,Vata,"Consume healthy fats like omega-3s, avoid fried foods, and exercise regularly.",None specific,1
Lymphadenopathy,Varies (days to months),"Low-sodium, Balanced diet",Requires monitoring,None specific,None specific,Pitta,"Consume anti-inflammatory foods like turmeric, avoid processed foods, and manage stress.",None specific,1
Meniere's Disease,Lifelong,"Low-sodium, Balanced diet",Requires ear care,"Ginkgo Biloba, Ginger",None specific,Vata,"Avoid loud noises, reduce salt intake, and practice relaxation techniques like yoga.","Balance Exercises, Stress Management",1
Multiple Myeloma,Lifelong,"Low-sodium, Balanced diet",Requires chemotherapy,None specific,None specific,Pitta,"Follow medical treatment, eat nutrient-rich foods to boost immunity, and manage stress.",None specific,1
Myocardial Infarction (Heart Attack),Lifelong,"Low-fat, Low-sodium diet",Requires heart monitoring,"Hawthorn, Garlic","Garlic, Ashwagandha",Vata,"Follow heart-healthy diet, avoid processed foods, and incorporate cardio exercises.","Cardiac Rehabilitation, Regular Exercise",1
Nasal Polyps,Lifelong,"Low-sodium, Low-dairy diet",Requires nasal care,None specific,None specific,Vata,"Avoid allergens, use saline nasal sprays, and practice deep breathing exercises.",None specific,1
Polycythemia Vera,Lifelong,"Low-sodium, Balanced diet",Requires monitoring,None specific,None specific,Pitta,"Maintain hydration, avoid iron-rich foods, and follow doctor’s treatment plan.",None specific,1
Post-Traumatic Stress Disorder (PTSD),Lifelong,"Balanced, Nutrient-rich diet",Requires psychological support,None specific,None specific,Vata,"Engage in mindfulness techniques, consume calming foods like chamomile, and seek therapy.",None specific,1
Prostate Enlargement (Benign Prostatic Hyperplasia),Lifelong,"Low-fat, Balanced diet",Requires monitoring,"Saw Palmetto, Pygeum",None specific,Vata,"Avoid caffeine, practice relaxation techniques, and eat a diet rich in antioxidants.",None specific,1
Psoriatic Arthritis,Lifelong,"Low-sodium, Balanced diet",Requires joint care,"Turmeric, Fish Oil","Ashwagandha, Turmeric",Pitta,"Avoid cold weather exposure, consume anti-inflammatory foods, and engage in regular stretching.","Physical Therapy, Stress Management",1
Raynaud's Disease,Lifelong,"Low-sodium, Balanced diet",Requires warmth and care,"Garlic, Ginkgo Biloba",None specific,Vata,"Avoid cold environments, wear warm clothing, and consume foods that improve circulation.",None specific,1
Sciatica,Weeks to Months,"Low-sodium, Balanced diet",Requires posture correction,None specific,None specific,Vata,"Engage in gentle stretching exercises, avoid sitting for long periods, and sleep in a neutral position.","Physical Therapy, Stretching",1
Sinusitis,Weeks to Months,"Low-sodium, Balanced diet",Requires nasal care,"Eucalyptus, Ginger, Peppermint",None specific,Vata,"Stay hydrated, practice steam inhalation, and avoid allergens.",None specific,1
Skin Infections,Weeks to Months,"Low-sodium, Balanced diet",Requires skin care,"Aloe Vera, Tea Tree Oil","Aloe Vera, Tea Tree Oil",Pitta,"Apply neem paste, avoid harsh chemicals, and keep the skin clean and dry.",None specific,1
Spinal Cord Injury,Lifelong,"Low-sodium, Balanced diet",Requires rehabilitation,None specific,None specific,Vata,"Focus on rehabilitation, maintain a nutritious diet to support nerve health, and practice gentle exercises.","Physical Therapy, Occupational Therapy",1
Spondylosis,Lifelong,"Low-sodium, Balanced diet",Requires posture correction,None specific,None specific,Vata,"Maintain a good posture, engage in back-strengthening exercises, and apply warm compresses.","Physical Therapy, Stretching",1
Stomach Cancer,Months to Years,"Low-fat, High-fiber diet",Requires monitoring,None specific,None specific,Pitta,"Consume small, frequent meals, avoid processed foods, and follow cancer treatment guidelines.",None specific,1
Strep Throat,Days to Weeks,"Low-sodium, Balanced diet",Requires antibiotic treatment,"Honey, Warm Salt Water Gargle",None specific,Pitta,"Stay hydrated, avoid irritants like smoke, and rest your voice.",None specific,1
Stress,Chronic or Intermittent,"Low-sodium, Balanced diet",Requires relaxation techniques,"Meditation, Aromatherapy","Ashwagandha, Brahmi",Vata,"Practice relaxation techniques like yoga and deep breathing, eat nutrient-dense foods, and engage in regular physical activity.","Relaxation Techniques, Yoga",1
Systemic Lupus Erythematosus (SLE),Lifelong,"Low-sodium, Balanced diet",Requires immune monitoring,"Turmeric, Fish Oil, Ginger","Ashwagandha, Turmeric",Pitta,"Avoid sun exposure, maintain a balanced diet rich in antioxidants, and engage in regular exercise.","Stress Management, Regular Exercise",1
Testicular Cancer,Months to Years,"Low-fat, High-protein diet",Requires monitoring,None specific,None specific,Pitta,"Include antioxidant-rich foods, follow treatment protocols, and avoid exposure to toxins.",None specific,1
Thyroid Cancer,Months to Years,"Low-fat, Balanced diet",Requires monitoring,None specific,None specific,Vata,"Consume thyroid-supportive foods, maintain a stress-free lifestyle, and follow medical guidance.",None specific,1
Tinnitus,Lifelong,"Low-sodium, Balanced diet",Requires sound therapy,"Ginkgo Biloba, Zinc Supplements",None specific,Vata,"Avoid loud noises, consume anti-inflammatory foods, and practice relaxation techniques.","Sound Therapy, Relaxation Techniques",1
Urinary Tract Infection (UTI),Days to Weeks,"Low-sodium, Balanced diet",Requires hydration,"Cranberry, Garlic",None specific,Pitta,"Drink plenty of fluids, avoid irritants like caffeine, and maintain hygiene.",None specific,1
Varicose Veins,Lifelong,"High-fiber, Low-sodium diet",Requires movement breaks,"Horse Chestnut, Grape Seed Extract",None specific,Vata,"Avoid prolonged sitting or standing, elevate legs, and incorporate leg-strengthening exercises.",None specific,1
Viral Infections,Days to Weeks,"Low-sodium, Balanced diet",Avoids crowded places,"Vitamin C, Echinacea",None specific,Pitta,"Increase fluid intake, rest, and consume immune-boosting foods like garlic.",None specific,1
Whipple's Disease,Months to Years,"High-protein, High-calorie diet",Requires medical treatment,None specific,None specific,Vata,"Follow a high-protein, nutrient-dense diet, avoid sugar, and follow medical advice.",None specific,1
Wilson’s Disease,Lifelong,"Low-copper, High-protein diet",Requires monitoring,None specific,None specific,Pitta,"Avoid copper-rich foods, maintain a balanced diet, and follow treatment protocols.",None specific,1
Worm Infections,Weeks to Months,"Low-fat, Balanced diet",Requires hygiene,"Wormwood, Papaya Seeds",None specific,Vata,"Maintain proper hygiene, eat fiber-rich foods, and consume anti-parasitic herbs.",None specific,1
Yeast Infections,Days to Weeks,"Low-sugar, High-fiber diet",Requires antifungal treatment,"Tea Tree Oil, Coconut Oil",None specific,Pitta,"Consume antifungal foods like garlic, avoid sugar, and maintain good hygiene.",None specific,1
Zoonotic Infections,Days to Months,"Low-sodium, Balanced diet",Requires hygiene,None specific,None specific,Pitta,"Avoid contact with infected animals, practice hygiene, and consume immune-boosting foods.",None specific,1
Bell's Palsy,Weeks to Months,Balanced diet,Requires rest and recovery,None specific,None specific,Pitta,"Manage stress, practice facial exercises, and consume nutrient-rich foods.","Facial Exercises, Stress Management",1
Crohn’s Disease,Lifelong,"Low-fiber, Balanced diet",Requires medical treatment,"Turmeric, Ginger, Probiotics","Turmeric, Ashwagandha",Pitta,"Avoid processed foods, consume fiber-rich meals, and follow medical treatment plans.","Regular Exercise, Stress Management",1
Diabetic Retinopathy,Lifelong,"Low-sugar, Balanced diet",Requires regular monitoring,None specific,None specific,Vata,"Monitor blood sugar levels, consume antioxidants, and avoid processed sugar.",None specific,1
Hodgkin’s Lymphoma,Months to Years,Balanced diet,Requires cancer treatment,None specific,None specific,Vata,"Follow prescribed medical treatments, maintain a nutritious diet, and manage stress.",None specific,1
